"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L01";"1b.1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"3";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"464.88";"695.25";"1192.0";"871.0";"L03";"1b.1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"3";"3";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"328.82";"695.25";"1192.0";"871.0";"L02";"1b.1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"3";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"600.94";"695.25";"1192.0";"871.0";"L04";"1b.1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"5";"3";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"737.01";"695.25";"1192.0";"871.0";"L05";"1b.1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L1.0";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"521.57";"695.25";"1192.0";"871.0";"L1.11";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"396.85";"695.25";"1192.0";"871.0";"L1.10";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"9";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"646.3";"695.25";"1192.0";"871.0";"L1.12";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"10";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"771.02";"695.25";"1192.0";"871.0";"L1.13";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"895.75";"695.25";"1192.0";"871.0";"L1.14";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"6";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"1020.47";"695.25";"1192.0";"871.0";"L1.15";"2b.1";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"13";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"351.5";"695.25";"1192.0";"871.0";"L2.11";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"14";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L2.0";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"15";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"578.27";"695.25";"1192.0";"871.0";"L2.13";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"16";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"691.65";"695.25";"1192.0";"871.0";"L2.14";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"17";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"805.04";"695.25";"1192.0";"871.0";"L2.15";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"18";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"918.43";"695.25";"1192.0";"871.0";"L2.16";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"19";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"1077.17";"695.25";"1192.0";"871.0";"L2.17";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"20";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"283.46";"695.25";"1192.0";"871.0";"L2.10";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"21";"10";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"464.88";"695.25";"1192.0";"871.0";"L2.12";"";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"22";"11";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"238.11";"695.25";"1192.0";"871.0";"L2.18";"";"";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"23";"11";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"351.5";"695.25";"1192.0";"871.0";"L2.19";"";"";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"24";"11";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"464.88";"695.25";"1192.0";"871.0";"L2.20";"";"";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"25";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"215.43";"695.25";"1192.0";"871.0";"L3-";"5b.1";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"26";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L3.11+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"27";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"317.48";"695.25";"1192.0";"871.0";"L3.10+";"=";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"28";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"566.93";"695.25";"1192.0";"871.0";"L3.12+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"29";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"680.32";"695.25";"1192.0";"871.0";"L3.13+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"30";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"793.7";"695.25";"1192.0";"871.0";"L3.14+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"31";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"907.09";"695.25";"1192.0";"871.0";"L3.15+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"32";"16";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"1020.47";"695.25";"1192.0";"871.0";"L3.16+";"";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"33";"17";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"113.39";"695.25";"1192.0";"871.0";"L3.17+";"";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"34";"17";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"226.77";"695.25";"1192.0";"871.0";"L3.18+";"";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"35";"17";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"340.16";"695.25";"1192.0";"871.0";"L3.19+";"";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"36";"17";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"544.25";"695.25";"1192.0";"871.0";"L3.20+";"";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"37";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"147.4";"695.25";"1192.0";"871.0";"L3.21+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"38";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"260.79";"695.25";"1192.0";"871.0";"L3.22+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"39";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"374.17";"695.25";"1192.0";"871.0";"L3.23+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"40";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"487.56";"695.25";"1192.0";"871.0";"L3.24+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"41";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"600.94";"695.25";"1192.0";"871.0";"L3.25+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"42";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"714.33";"695.25";"1192.0";"871.0";"L3.26+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"43";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"827.72";"695.25";"1192.0";"871.0";"L3.27+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"44";"18";"BreakPoint_V_5.2_UD_SZ";"variant_0";"approved";"941.1";"695.25";"1192.0";"871.0";"L3.28+";"";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
