"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"30";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"2";"30";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"3";"30";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"4";"30";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.11+";"L5.11+";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"5";"30";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"6";"31";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"7";"31";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"8";"31";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"9";"31";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.11+";"L5.11+";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"10";"31";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"11";"32";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"374.17";"695.25";"1192.0";"871.0";"L3-";"L3-";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"12";"32";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"283.46";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"13";"32";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5-";"L5-";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"14";"32";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"442.2";"695.25";"1192.0";"871.0";"L5.12+";"L5.12+";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"15";"32";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"16";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"147.4";"627.22";"1192.0";"871.0";"L3-";"L3-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"17";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"317.48";"627.22";"1192.0";"871.0";"L3.20+";"L3.20+";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"18";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"408.19";"627.22";"1192.0";"871.0";"L5-";"L5-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"19";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"487.56";"627.22";"1192.0";"871.0";"L5.12+";"L5.12+";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"20";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"226.77";"627.22";"1192.0";"871.0";"L3.10+";"L3.10+";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"21";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"170.08";"695.25";"1192.0";"871.0";"L3-";"L3-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"22";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"785.96";"1192.0";"871.0";"L3-";"L3-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"23";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"430.87";"695.25";"1192.0";"871.0";"L5-";"L5-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"24";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"521.57";"695.25";"1192.0";"871.0";"L5.12+";"L5.12+";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"25";"33";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"351.5";"785.96";"1192.0";"871.0";"L3.20+";"L3.20+";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"26";"34";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"27";"34";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"28";"34";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"29";"34";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"532.91";"695.25";"1192.0";"871.0";"L5.12+";"L5.12+";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"30";"34";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"272.13";"695.25";"1192.0";"871.0";"L3.10+";"L3.10+";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"31";"35";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"192.76";"695.25";"1192.0";"871.0";"L3-";"L3-";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"32";"35";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"362.83";"695.25";"1192.0";"871.0";"L3.20+";"L3.20+";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"33";"35";"BreakPoint_V_5.5_UD_SZ";"variant_0";"approved";"453.54";"695.25";"1192.0";"871.0";"L5-";"L5-";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
