"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"go_adr";"plc";"go_plc";"var";"decription";"pin";"ch";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"78";"O_S1";"variant_0";"approved";"192.76";"99.98";"1192.0";"871.0";"A3.6";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"2";"78";"O_S1";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A3.5";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"39";"CCHH 2299";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"3";"78";"O_S1";"variant_0";"approved";"328.82";"99.98";"1192.0";"871.0";"A3.7";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"4";"78";"O_S1";"variant_0";"approved";"464.88";"99.98";"1192.0";"871.0";"A23.6";"/17b.3";"PLC-I";"-EG1.2/6 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"5";"78";"O_S1";"variant_0";"approved";"600.94";"99.98";"1192.0";"871.0";"A23.7";"/17b.3";"PLC-I";"-EG1.2/6 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"6";"78";"O_S1";"variant_0";"approved";"737.01";"99.98";"1192.0";"871.0";"A27.7";"/17b.5";"PLC-I";"-EG1.2/7 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"7";"78";"O_S1";"variant_0";"approved";"873.07";"99.98";"1192.0";"871.0";"A31.6";"/17b.8";"PLC-I";"-EG1.2/8 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"8";"78";"O_S1";"variant_0";"approved";"1009.13";"99.98";"1192.0";"871.0";"A31.7";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"9";"78";"O_S1";"variant_0";"approved";"192.76";"281.39";"1192.0";"871.0";"A34.3";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"28";"CCHH 1199";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"78";"O_S1";"variant_0";"approved";"56.69";"281.39";"1192.0";"871.0";"A34.2";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"27";"CCHH 1188";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"78";"O_S1";"variant_0";"approved";"328.82";"281.39";"1192.0";"871.0";"A34.4";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"29";"CCHH 2200";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"78";"O_S1";"variant_0";"approved";"464.88";"281.39";"1192.0";"871.0";"A34.5";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"30";"CCHH 2211";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"78";"O_S1";"variant_0";"approved";"600.94";"281.39";"1192.0";"871.0";"A34.6";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"31";"CCHH 2222";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
