"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"decription";"pin";"ch";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"70";"O_SPS";"variant_0";"approved";"192.76";"621.55";"1192.0";"871.0";"A85.3";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"33";"CCHH 1111";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"2";"70";"O_SPS";"variant_0";"approved";"56.69";"621.55";"1192.0";"871.0";"A85.1";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"29";"CCHH 99";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"3";"70";"O_SPS";"variant_0";"approved";"328.82";"621.55";"1192.0";"871.0";"A85.4";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"39";"CCHH 1122";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"4";"70";"O_SPS";"variant_0";"approved";"464.88";"621.55";"1192.0";"871.0";"A85.5";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"41";"CCHH 1133";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"5";"77";"O_SPS";"variant_0";"approved";"192.76";"440.13";"1192.0";"871.0";"A1.0";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"13";"CCHH 88";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"6";"77";"O_SPS";"variant_0";"approved";"56.69";"440.13";"1192.0";"871.0";"A0.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"11";"CCHH 77";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"7";"77";"O_SPS";"variant_0";"approved";"328.82";"440.13";"1192.0";"871.0";"A1.1";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"14";"CCHH 99";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"8";"77";"O_SPS";"variant_0";"approved";"464.88";"440.13";"1192.0";"871.0";"A1.2";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"15";"CCHH 1100";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"9";"77";"O_SPS";"variant_0";"approved";"600.94";"440.13";"1192.0";"871.0";"A1.3";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"16";"CCHH 1111";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"77";"O_SPS";"variant_0";"approved";"737.01";"440.13";"1192.0";"871.0";"A1.4";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"17";"CCHH 1122";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"77";"O_SPS";"variant_0";"approved";"873.07";"440.13";"1192.0";"871.0";"A1.5";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"18";"CCHH 1133";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"77";"O_SPS";"variant_0";"approved";"1009.13";"440.13";"1192.0";"871.0";"A1.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"19";"CCHH 1144";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"77";"O_SPS";"variant_0";"approved";"192.76";"621.55";"1192.0";"871.0";"A2.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"31";"CCHH 2222";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"14";"77";"O_SPS";"variant_0";"approved";"56.69";"621.55";"1192.0";"871.0";"A1.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"20";"CCHH 1155";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"77";"O_SPS";"variant_0";"approved";"328.82";"621.55";"1192.0";"871.0";"A2.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"32";"CCHH 2233";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"77";"O_SPS";"variant_0";"approved";"464.88";"621.55";"1192.0";"871.0";"A3.0";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"34";"CCHH 2244";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"77";"O_SPS";"variant_0";"approved";"600.94";"621.55";"1192.0";"871.0";"A3.1";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"35";"CCHH 2255";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"77";"O_SPS";"variant_0";"approved";"737.01";"621.55";"1192.0";"871.0";"A3.2";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"36";"CCHH 2266";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"77";"O_SPS";"variant_0";"approved";"873.07";"621.55";"1192.0";"871.0";"A3.3";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"37";"CCHH 2277";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"20";"77";"O_SPS";"variant_0";"approved";"1009.13";"621.55";"1192.0";"871.0";"A3.4";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"38";"CCHH 2288";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"21";"96";"O_SPS";"variant_0";"approved";"90.71";"451.47";"1192.0";"871.0";"A68.0";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"4";"CCHH 00";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
