"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"6";"SF_1P_link";"variant_0";"approved";"521.57";"451.47";"1192.0";"871.0";"-F11";"2";"1";"/2a.2";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"2";"6";"SF_1P_link";"variant_0";"approved";"646.3";"451.47";"1192.0";"871.0";"-F12";"2";"1";"/2a.2";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"3";"6";"SF_1P_link";"variant_0";"approved";"771.02";"451.47";"1192.0";"871.0";"-F13";"2";"1";"/2a.2";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"4";"6";"SF_1P_link";"variant_0";"approved";"895.75";"451.47";"1192.0";"871.0";"-F14";"2";"1";"/2a.2";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"5";"6";"SF_1P_link";"variant_0";"approved";"1020.47";"451.47";"1192.0";"871.0";"-F15";"2";"1";"/2a.2";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"6";"10";"SF_1P_link";"variant_0";"approved";"351.5";"451.47";"1192.0";"871.0";"-F2.11";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"10";"SF_1P_link";"variant_0";"approved";"464.88";"451.47";"1192.0";"871.0";"-F2.12";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"10";"SF_1P_link";"variant_0";"approved";"578.27";"451.47";"1192.0";"871.0";"-F2.13";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"9";"10";"SF_1P_link";"variant_0";"approved";"691.65";"451.47";"1192.0";"871.0";"-F2.14";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"10";"10";"SF_1P_link";"variant_0";"approved";"805.04";"451.47";"1192.0";"871.0";"-F2.15";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"10";"SF_1P_link";"variant_0";"approved";"351.5";"281.39";"1192.0";"871.0";"-F2.1";"2";"1";"/3b.2";"20A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"10";"SF_1P_link";"variant_0";"approved";"918.43";"451.47";"1192.0";"871.0";"-F2.16";"2";"1";"/3b.2";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
