"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"75.17";"1192.0";"871.0";"-XX";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"2";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"177.22";"1192.0";"871.0";"-XX";"L02";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"3";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"256.59";"1192.0";"871.0";"-XX";"L03";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"4";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"335.96";"1192.0";"871.0";"-XX";"L04";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"5";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"415.33";"1192.0";"871.0";"-XX";"L05";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"6";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"440.08";"256.59";"1192.0";"871.0";"-XV";"L03";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"7";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"440.08";"415.33";"1192.0";"871.0";"-XV";"L05";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"8";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"440.08";"75.17";"1192.0";"871.0";"-XV";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"9";"4";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"440.08";"177.22";"1192.0";"871.0";"-XV";"L02";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"10";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"75.17";"1192.0";"871.0";"-X";"L1.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"11";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"177.22";"1192.0";"871.0";"-X";"L1.10";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"12";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"256.59";"1192.0";"871.0";"-X";"L1.11";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"13";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"335.96";"1192.0";"871.0";"-X";"L1.12";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"415.33";"1192.0";"871.0";"-X";"L1.13";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"15";"8";"X_Simple_H_3_Down_SZ_1st";"A";"approved";"247.32";"494.7";"1192.0";"871.0";"-X";"L1.14";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
