"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"5";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"975.12";"712.26";"1192.0";"871.0";"=400-XP1";"L01";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"14";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"204.09";"666.91";"1192.0";"871.0";"-XV400A";"L2.0";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"3";"15";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"204.09";"644.23";"1192.0";"871.0";"414-X10VQ";"L2.12";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"4";"15";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"260.79";"644.23";"1192.0";"871.0";"L2.12 L2.12";"L2.0";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"5";"15";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"374.17";"644.23";"1192.0";"871.0";"L1.12 L1.12";"L1.0";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"6";"16";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"385.51";"734.94";"1192.0";"871.0";"=428 -X11VI";"L3.10";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"7";"17";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"442.2";"678.24";"1192.0";"871.0";"=428 -X11VI";"L3.19+";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"8";"19";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"827.72";"508.17";"1192.0";"871.0";"=428 -X11VQ";"L2.0";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"9";"19";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"884.41";"485.49";"1192.0";"871.0";"=428 -X11VI";"L3-";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"10";"21";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"201.97";"653.44";"1192.0";"871.0";"-XV400A";"L3-";"5c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"11";"22";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"204.09";"632.89";"1192.0";"871.0";"414-X10VI";"L3.10+";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"12";"30";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=411-XTK1";"L3-";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"13";"30";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=411 +411TK1 -XTK1";"L3-";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"14";"31";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=413-XTK1";"L3-";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"15";"31";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=413 +413TK1 -XTK1";"L3-";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"16";"32";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=414-XTK1";"L3.10+";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"17";"32";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=414 +414TK1 -XTK1";"L3.10+";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"18";"33";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"147.4";"474.15";"1192.0";"871.0";"=416-XTK1";"L3-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"19";"33";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"147.4";"587.54";"1192.0";"871.0";"=416 +416TK1 -XTK1";"L3-";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"20";"34";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=418-XTK1";"L3-";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"21";"34";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=418 +418TK1 -XTK1";"L3-";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"22";"35";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=420-XTK1";"L3-";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"23";"35";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=420 +420TK1 -XTK1";"L3-";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"24";"36";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=420-XTK2";"L3-";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"25";"36";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=420 +420TK2 -XTK2";"L3-";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"26";"37";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=420-XTK3";"L3-";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"27";"37";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=420 +420TK3 -XTK3";"L3-";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"28";"38";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=420-XTK4";"L3-";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"29";"38";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=420 +420TK4 -XTK4";"L3-";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"30";"39";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=427-XTK1";"L3-";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"31";"39";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=427 +427TK1 -XTK1";"L3-";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"32";"39";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"895.75";"542.18";"1192.0";"871.0";"=427-XTK1";"L3.20+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"33";"39";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"895.75";"655.57";"1192.0";"871.0";"+427TK1";"L3.20+";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"34";"40";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=427-XTK4";"L3-";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"35";"40";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"689.58";"1192.0";"871.0";"=427 +427TK4-XTK4";"L3-";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"36";"41";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=427-XTK5";"L3-";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"37";"41";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=427 +427TK5 -XTK5";"L3-";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"38";"42";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=427-XTK6";"L3-";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"39";"42";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"655.57";"1192.0";"871.0";"=427 +427TK6 -XTK6";"L3-";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"40";"43";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=428-XTK1";"L3-";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e"
"41";"44";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"542.18";"1192.0";"871.0";"=450-XTK1";"L3-";"7q";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 450TK1";""
"42";"45";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"315.41";"1192.0";"871.0";"=400-XP1";"L2.0";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"43";"45";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"192.76";"598.87";"1192.0";"871.0";"=400-XP1";"L3-";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"44";"46";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"158.74";"610.21";"1192.0";"871.0";"=411-XKK1";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"45";"46";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"158.74";"723.6";"1192.0";"871.0";"=411 +A1 -X";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"46";"46";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"610.21";"1192.0";"871.0";"=411-XKK3";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"47";"46";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"532.91";"723.6";"1192.0";"871.0";"=411 +A3 -X";"L3-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"48";"46";"X_Simple_V_3_Right_SZ_1st";"variant_0";"approved";"748.35";"610.21";"1192.0";"871.0";"=411-XKK3";"L4-";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
