"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"con_L_DownRight";"default";"approved";"408.19";"247.38";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"con_L_DownRight";"default";"approved";"419.53";"258.72";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"2";"con_L_DownRight";"default";"approved";"430.87";"270.06";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"4";"2";"con_L_DownRight";"default";"approved";"136.06";"65.96";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"5";"2";"con_L_DownRight";"default";"approved";"158.74";"77.3";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"6";"2";"con_L_DownRight";"default";"approved";"181.42";"88.64";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"7";"3";"con_L_DownRight";"default";"approved";"374.17";"156.67";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"8";"3";"con_L_DownRight";"default";"approved";"136.06";"485.49";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"9";"5";"con_L_DownRight";"default";"approved";"1145.2";"666.91";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"10";"6";"con_L_DownRight";"default";"approved";"158.74";"485.49";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"6";"con_L_DownRight";"default";"approved";"260.79";"133.99";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"10";"con_L_DownRight";"default";"approved";"158.74";"485.49";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"13";"10";"con_L_DownRight";"default";"approved";"260.79";"133.99";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"14";"10";"con_L_DownRight";"default";"approved";"283.46";"258.72";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"15";"16";"con_L_DownRight";"default";"approved";"158.74";"508.17";"1192.0";"871.0";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
