"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"BreakPoint_H_1";"A";"approved";"714.33";"77.3";"1192.0";"871.0";"1L2/2.0";"1L2/2.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"BreakPoint_H_1";"A";"approved";"714.33";"88.64";"1192.0";"871.0";"1L3/2.0";"1L3/2.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"2";"BreakPoint_H_1";"A";"approved";"714.33";"247.38";"1192.0";"871.0";"L1/1a.0";"L1/1a.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"4";"2";"BreakPoint_H_1";"A";"approved";"714.33";"258.72";"1192.0";"871.0";"L2/1a.0";"L2/1a.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"5";"2";"BreakPoint_H_1";"A";"approved";"714.33";"270.06";"1192.0";"871.0";"L3/1a.0";"L3/1a.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"6";"2";"BreakPoint_H_1";"A";"approved";"714.33";"65.96";"1192.0";"871.0";"1L1/2.0";"1L1/2.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"7";"3";"BreakPoint_H_1";"A";"approved";"102.05";"65.96";"1192.0";"871.0";"1.6/L1";"1.6/L1";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"8";"3";"BreakPoint_H_1";"A";"approved";"102.05";"77.3";"1192.0";"871.0";"1.6/L2";"1.6/L2";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"9";"3";"BreakPoint_H_1";"A";"approved";"102.05";"88.64";"1192.0";"871.0";"1.6/L3";"1.6/L3";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"10";"4";"BreakPoint_H_1";"A";"approved";"124.72";"77.3";"1192.0";"871.0";"1a.1/L01";"1a.1/L01";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"11";"4";"BreakPoint_H_1";"A";"approved";"124.72";"179.35";"1192.0";"871.0";"1a.2/L02";"1a.2/L02";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"12";"4";"BreakPoint_H_1";"A";"approved";"124.72";"258.72";"1192.0";"871.0";"1a.3/L03";"1a.3/L03";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"13";"4";"BreakPoint_H_1";"A";"approved";"124.72";"338.09";"1192.0";"871.0";"1a.5/L04";"1a.5/L04";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"4";"BreakPoint_H_1";"A";"approved";"124.72";"417.46";"1192.0";"871.0";"1a.6/L05";"1a.6/L05";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
