"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"32";"CAB_1wire_SZ";"A";"approved";"181.42";"621.55";"1192.0";"871.0";"=414 -W3TK1";"=414/368.1";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"2";"33";"CAB_1wire_SZ";"A";"approved";"158.74";"678.24";"1192.0";"871.0";"=416 +416TK1-W01TKK1";"";"H05VV5-F 12G1.5 mm²";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"3";"54";"CAB_1wire_SZ";"A";"approved";"737.01";"406.12";"1192.0";"871.0";"-W27.1";"/10.6";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"4";"54";"CAB_1wire_SZ";"A";"approved";"737.01";"224.7";"1192.0";"871.0";"-W27.2";"/10.6";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"5";"54";"CAB_1wire_SZ";"A";"approved";"952.44";"406.12";"1192.0";"871.0";"-W27.4";"/10.8";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"6";"54";"CAB_1wire_SZ";"A";"approved";"952.44";"224.7";"1192.0";"871.0";"-W27.3";"/10.8";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"54";"CAB_1wire_SZ";"A";"approved";"952.44";"587.54";"1192.0";"871.0";"-W27.5";"/10.8";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"CAB_1wire_SZ";"A";"approved";"952.44";"768.95";"1192.0";"871.0";"-W27.6";"/10.8";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"55";"CAB_1wire_SZ";"A";"approved";"124.72";"236.04";"1192.0";"871.0";"-W27.7";"";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"55";"CAB_1wire_SZ";"A";"approved";"124.72";"598.87";"1192.0";"871.0";"=414-W1TK1";"";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"11";"55";"CAB_1wire_SZ";"A";"approved";"124.72";"417.46";"1192.0";"871.0";"-W27.8";"";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"12";"55";"CAB_1wire_SZ";"A";"approved";"328.82";"780.29";"1192.0";"871.0";"=418-W1TK2";"";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"13";"57";"CAB_1wire_SZ";"A";"approved";"294.8";"349.43";"1192.0";"871.0";"=411-W1.2";"/7c.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"14";"57";"CAB_1wire_SZ";"A";"approved";"396.85";"349.43";"1192.0";"871.0";"=413-W3.2";"/7d.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"15";"57";"CAB_1wire_SZ";"A";"approved";"498.9";"349.43";"1192.0";"871.0";"=416-W5.2";"/7f.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"16";"57";"CAB_1wire_SZ";"A";"approved";"600.94";"349.43";"1192.0";"871.0";"=418-W6.2";"/7g.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"17";"57";"CAB_1wire_SZ";"A";"approved";"702.99";"349.43";"1192.0";"871.0";"=420-W8.2";"/7h.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"18";"57";"CAB_1wire_SZ";"A";"approved";"805.04";"349.43";"1192.0";"871.0";"=420-W9.2";"/7i.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"19";"57";"CAB_1wire_SZ";"A";"approved";"907.09";"349.43";"1192.0";"871.0";"=420-W10.2";"/7j.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"20";"57";"CAB_1wire_SZ";"A";"approved";"1009.13";"349.43";"1192.0";"871.0";"=420-W11.2";"/7k.1";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"21";"57";"CAB_1wire_SZ";"A";"approved";"1111.18";"349.43";"1192.0";"871.0";"=414-W2TK1";"/7e.2";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"22";"58";"CAB_1wire_SZ";"A";"approved";"294.8";"349.43";"1192.0";"871.0";"=427-W13.2";"/7l.1";"";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"23";"58";"CAB_1wire_SZ";"A";"approved";"396.85";"349.43";"1192.0";"871.0";"=427-W15.2";"/7n.1";"";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"24";"58";"CAB_1wire_SZ";"A";"approved";"498.9";"349.43";"1192.0";"871.0";"=427-W16.2";"/7o.1";"";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
