"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"57";"PB_NO_1";"A";"approved";"306.14";"258.72";"1192.0";"871.0";"+411TK1 -S201";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"2";"57";"PB_NO_1";"A";"approved";"408.19";"258.72";"1192.0";"871.0";"+413TK1 -S202";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"3";"57";"PB_NO_1";"A";"approved";"510.24";"258.72";"1192.0";"871.0";"+416TK1 -S203";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"4";"57";"PB_NO_1";"A";"approved";"612.28";"258.72";"1192.0";"871.0";"+418TK1 -S204";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"5";"57";"PB_NO_1";"A";"approved";"714.33";"258.72";"1192.0";"871.0";"+420TK1 -S205";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"6";"57";"PB_NO_1";"A";"approved";"816.38";"258.72";"1192.0";"871.0";"+420TK2 -S206";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"7";"57";"PB_NO_1";"A";"approved";"918.43";"258.72";"1192.0";"871.0";"+420TK3 -S207";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"8";"57";"PB_NO_1";"A";"approved";"1020.47";"258.72";"1192.0";"871.0";"+420TK4 -S208";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"9";"57";"PB_NO_1";"A";"approved";"1122.52";"258.72";"1192.0";"871.0";"+414TK1 -S210";"13";"14";"";"SW";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"10";"58";"PB_NO_1";"A";"approved";"306.14";"258.72";"1192.0";"871.0";"+427TK1 -S209";"13";"14";"";"SW";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"11";"58";"PB_NO_1";"A";"approved";"408.19";"258.72";"1192.0";"871.0";"+427TK5 -S211";"13";"14";"";"SW";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"12";"58";"PB_NO_1";"A";"approved";"510.24";"258.72";"1192.0";"871.0";"+427TK6 -S212";"13";"14";"";"SW";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
