"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"SF_1P";"variant_0";"approved";"331.65";"511.0";"1192.0";"871.0";"-F01";"1";"2";"";"10A";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"3";"SF_1P";"variant_0";"approved";"467.72";"511.0";"1192.0";"871.0";"-F02";"1";"2";"";"6A";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"3";"3";"SF_1P";"variant_0";"approved";"603.78";"511.0";"1192.0";"871.0";"-F03";"1";"2";"";"10A";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"3";"SF_1P";"variant_0";"approved";"739.84";"511.0";"1192.0";"871.0";"-F04";"1";"2";"";"6A";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"5";"6";"SF_1P";"variant_0";"approved";"396.85";"440.13";"1192.0";"871.0";"-F10";"1";"2";"";"6A";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"6";"10";"SF_1P";"variant_0";"approved";"283.46";"448.64";"1192.0";"871.0";"-F2.10";"1";"2";"";"6A";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"16";"SF_1P";"variant_0";"approved";"317.48";"462.81";"1192.0";"871.0";"-F3.10";"1";"2";"";"6A";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"8";"27";"SF_1P";"variant_0";"approved";"354.33";"465.65";"1192.0";"871.0";"-F5.10";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"9";"27";"SF_1P";"variant_0";"approved";"456.38";"465.65";"1192.0";"871.0";"-F5.11";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"10";"27";"SF_1P";"variant_0";"approved";"569.76";"465.65";"1192.0";"871.0";"-F5.12";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"11";"27";"SF_1P";"variant_0";"approved";"683.15";"465.65";"1192.0";"871.0";"-F5.13";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"12";"27";"SF_1P";"variant_0";"approved";"796.54";"465.65";"1192.0";"871.0";"-F5.14";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"13";"27";"SF_1P";"variant_0";"approved";"909.92";"465.65";"1192.0";"871.0";"-F5.15";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"14";"27";"SF_1P";"variant_0";"approved";"1023.31";"465.65";"1192.0";"871.0";"-F5.16";"1";"2";"";"6A";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"15";"28";"SF_1P";"variant_0";"approved";"116.22";"465.65";"1192.0";"871.0";"-F5.17";"1";"2";"";"6A";"7a";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"16";"28";"SF_1P";"variant_0";"approved";"229.61";"465.65";"1192.0";"871.0";"-F5.18";"1";"2";"";"6A";"7a";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"17";"52";"SF_1P";"variant_0";"approved";"396.85";"448.64";"1192.0";"871.0";"-F7.10";"1";"2";"";"10A";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"18";"52";"SF_1P";"variant_0";"approved";"521.57";"448.64";"1192.0";"871.0";"-F7.11";"1";"2";"";"10A";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"19";"52";"SF_1P";"variant_0";"approved";"646.3";"448.64";"1192.0";"871.0";"-F7.12";"1";"2";"";"10A";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
