"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"19";"X_Simple_UpDown_SZ_1st";"A";"approved";"873.07";"621.55";"1192.0";"871.0";"=428-X11VI";"1";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"2";"33";"X_Simple_UpDown_SZ_1st";"A";"approved";"737.0";"587.54";"1192.0";"871.0";"=416 +416TK1 -XTKK2";"PE";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"3";"47";"X_Simple_UpDown_SZ_1st";"A";"approved";"1122.52";"723.6";"1192.0";"871.0";"";"PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"4";"47";"X_Simple_UpDown_SZ_1st";"A";"approved";"646.3";"723.6";"1192.0";"871.0";"";"PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"5";"47";"X_Simple_UpDown_SZ_1st";"A";"approved";"861.73";"723.6";"1192.0";"871.0";"";"PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"6";"49";"X_Simple_UpDown_SZ_1st";"A";"approved";"442.2";"655.57";"1192.0";"871.0";"";"PE";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"7";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"270.06";"1192.0";"871.0";"=411-XTK1";"3 1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"326.75";"1192.0";"871.0";"=411+411TK1 -XTK1";"1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"451.47";"1192.0";"871.0";"=413-XTK1";"1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"508.17";"1192.0";"871.0";"=413+413TK1 -XTK1";"1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"11";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"632.89";"1192.0";"871.0";"=418-XTK1";"1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"12";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"136.06";"689.58";"1192.0";"871.0";"=418+418TK1 -XTK1";"1";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"13";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"340.15";"632.89";"1192.0";"871.0";"=420-XTK1";"2";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"14";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"340.15";"689.58";"1192.0";"871.0";"=420+420TK1 -XTK1";"2";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"15";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"340.15";"451.47";"1192.0";"871.0";"=420-XTK2";"2";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"16";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"340.15";"508.17";"1192.0";"871.0";"=420+420TK2 -XTK2";"2";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"17";"54";"X_Simple_UpDown_SZ_1st";"A";"approved";"340.15";"270.06";"1192.0";"871.0";"=420-XTK3";"2";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
