"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"con_T_DOWN";"default";"approved";"464.88";"485.49";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"3";"con_T_DOWN";"default";"approved";"600.94";"485.49";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"3";"3";"con_T_DOWN";"default";"approved";"328.82";"485.49";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"5";"con_T_DOWN";"default";"approved";"249.45";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"5";"5";"con_T_DOWN";"default";"approved";"464.88";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"5";"con_T_DOWN";"default";"approved";"158.74";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"7";"6";"con_T_DOWN";"default";"approved";"396.85";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"6";"con_T_DOWN";"default";"approved";"521.57";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"9";"6";"con_T_DOWN";"default";"approved";"646.3";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"10";"6";"con_T_DOWN";"default";"approved";"771.02";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"6";"con_T_DOWN";"default";"approved";"895.75";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"10";"con_T_DOWN";"default";"approved";"464.88";"394.78";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
