"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"BusBar_Con_Down";"A";"approved";"226.77";"579.03";"1192.0";"871.0";"PE";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"BusBar_Con_Down";"A";"approved";"204.09";"556.35";"1192.0";"871.0";"N";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"9";"BusBar_Con_Down";"A";"approved";"737.01";"669.74";"1192.0";"871.0";"-PE";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"4";"14";"BusBar_Con_Down";"A";"approved";"827.72";"669.74";"1192.0";"871.0";"-PE";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"5";"15";"BusBar_Con_Down";"A";"approved";"442.2";"647.06";"1192.0";"871.0";"-PE";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"6";"22";"BusBar_Con_Down";"A";"approved";"408.19";"635.72";"1192.0";"871.0";"-PE";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"7";"30";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"8";"31";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"9";"32";"BusBar_Con_Down";"A";"approved";"634.96";"545.02";"1192.0";"871.0";"-PE";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"10";"33";"BusBar_Con_Down";"A";"approved";"646.3";"476.98";"1192.0";"871.0";"-PE";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"11";"34";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"12";"35";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"13";"36";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"14";"37";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"15";"38";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"16";"39";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"17";"39";"BusBar_Con_Down";"A";"approved";"1043.15";"545.02";"1192.0";"871.0";"-PE";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"18";"40";"BusBar_Con_Down";"A";"approved";"623.62";"545.02";"1192.0";"871.0";"-PE";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"19";"40";"BusBar_Con_Down";"A";"approved";"646.3";"545.02";"1192.0";"871.0";"-PE";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"20";"41";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"21";"42";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"22";"43";"BusBar_Con_Down";"A";"approved";"691.65";"545.02";"1192.0";"871.0";"-PE";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e"
"23";"45";"BusBar_Con_Down";"A";"approved";"918.43";"601.71";"1192.0";"871.0";"-PE";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"24";"46";"BusBar_Con_Down";"A";"approved";"385.51";"613.05";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"25";"46";"BusBar_Con_Down";"A";"approved";"1122.52";"613.05";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"26";"46";"BusBar_Con_Down";"A";"approved";"793.7";"216.2";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"27";"46";"BusBar_Con_Down";"A";"approved";"1122.52";"216.2";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"28";"46";"BusBar_Con_Down";"A";"approved";"646.3";"613.05";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"29";"46";"BusBar_Con_Down";"A";"approved";"861.73";"613.05";"1192.0";"871.0";"-PE";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"30";"47";"BusBar_Con_Down";"A";"approved";"385.51";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"31";"47";"BusBar_Con_Down";"A";"approved";"1122.52";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"32";"47";"BusBar_Con_Down";"A";"approved";"793.7";"216.2";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"33";"47";"BusBar_Con_Down";"A";"approved";"646.3";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"34";"47";"BusBar_Con_Down";"A";"approved";"861.73";"613.05";"1192.0";"871.0";"-PE";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"35";"48";"BusBar_Con_Down";"A";"approved";"385.51";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"36";"48";"BusBar_Con_Down";"A";"approved";"1122.52";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"37";"48";"BusBar_Con_Down";"A";"approved";"793.7";"216.2";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"38";"48";"BusBar_Con_Down";"A";"approved";"1122.52";"216.2";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"39";"48";"BusBar_Con_Down";"A";"approved";"646.3";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"40";"48";"BusBar_Con_Down";"A";"approved";"861.73";"613.05";"1192.0";"871.0";"-PE";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"41";"49";"BusBar_Con_Down";"A";"approved";"442.2";"545.02";"1192.0";"871.0";"-PE";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"42";"54";"BusBar_Con_Down";"A";"approved";"215.43";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"43";"54";"BusBar_Con_Down";"A";"approved";"215.43";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"44";"54";"BusBar_Con_Down";"A";"approved";"215.43";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"45";"54";"BusBar_Con_Down";"A";"approved";"419.53";"635.72";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"46";"54";"BusBar_Con_Down";"A";"approved";"419.53";"454.31";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"47";"54";"BusBar_Con_Down";"A";"approved";"419.53";"272.89";"1192.0";"871.0";"-PE";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
