"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"PE_UD";"A";"approved";"243.78";"576.2";"1192.0";"871.0";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"PE_UD";"A";"approved";"895.75";"513.83";"1192.0";"871.0";"PE";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"3";"PE_UD";"A";"approved";"136.06";"672.57";"1192.0";"871.0";"PE";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"6";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"5";"9";"PE_UD";"A";"approved";"754.02";"666.91";"1192.0";"871.0";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"6";"10";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"14";"PE_UD";"A";"approved";"844.72";"666.91";"1192.0";"871.0";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"8";"15";"PE_UD";"A";"approved";"459.21";"644.23";"1192.0";"871.0";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"9";"16";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"10";"22";"PE_UD";"A";"approved";"425.2";"632.89";"1192.0";"871.0";"";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"11";"23";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"12";"27";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"13";"30";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"14";"31";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"15";"32";"PE_UD";"A";"approved";"651.97";"542.18";"1192.0";"871.0";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"16";"33";"PE_UD";"A";"approved";"663.31";"474.15";"1192.0";"871.0";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"17";"34";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"18";"35";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"19";"36";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"20";"37";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"21";"38";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"22";"39";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"23";"39";"PE_UD";"A";"approved";"1060.16";"542.18";"1192.0";"871.0";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"24";"40";"PE_UD";"A";"approved";"685.98";"542.18";"1192.0";"871.0";"";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"25";"41";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"26";"42";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"27";"43";"PE_UD";"A";"approved";"708.66";"542.18";"1192.0";"871.0";"";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e"
"28";"45";"PE_UD";"A";"approved";"935.43";"598.87";"1192.0";"871.0";"";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"29";"46";"PE_UD";"A";"approved";"402.52";"610.21";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"30";"46";"PE_UD";"A";"approved";"1139.53";"610.21";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"31";"46";"PE_UD";"A";"approved";"810.71";"213.36";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"32";"46";"PE_UD";"A";"approved";"1139.53";"213.36";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"33";"46";"PE_UD";"A";"approved";"663.31";"610.21";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"34";"46";"PE_UD";"A";"approved";"878.74";"610.21";"1192.0";"871.0";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"35";"47";"PE_UD";"A";"approved";"402.52";"610.21";"1192.0";"871.0";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"36";"47";"PE_UD";"A";"approved";"1139.53";"610.21";"1192.0";"871.0";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"37";"47";"PE_UD";"A";"approved";"810.71";"213.36";"1192.0";"871.0";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"38";"47";"PE_UD";"A";"approved";"663.31";"610.21";"1192.0";"871.0";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"39";"47";"PE_UD";"A";"approved";"878.74";"610.21";"1192.0";"871.0";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"40";"48";"PE_UD";"A";"approved";"402.52";"610.21";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"41";"48";"PE_UD";"A";"approved";"1139.53";"610.21";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"42";"48";"PE_UD";"A";"approved";"810.71";"213.36";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"43";"48";"PE_UD";"A";"approved";"1139.53";"213.36";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"44";"48";"PE_UD";"A";"approved";"663.31";"610.21";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"45";"48";"PE_UD";"A";"approved";"878.74";"610.21";"1192.0";"871.0";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"46";"49";"PE_UD";"A";"approved";"459.21";"542.18";"1192.0";"871.0";"";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"47";"50";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
"48";"52";"PE_UD";"A";"approved";"158.74";"672.57";"1192.0";"871.0";"PE";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"49";"54";"PE_UD";"A";"approved";"232.44";"270.06";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"50";"54";"PE_UD";"A";"approved";"232.44";"451.47";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"51";"54";"PE_UD";"A";"approved";"232.44";"632.89";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"52";"54";"PE_UD";"A";"approved";"436.54";"632.89";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"53";"54";"PE_UD";"A";"approved";"436.54";"451.47";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"54";"54";"PE_UD";"A";"approved";"436.54";"270.06";"1192.0";"871.0";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
