"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"1";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1";"51";"= OVERVIEW";"+";"";"base sheet";""
"2";"2";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"3";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"4";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"5";"5";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"6";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"7";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"8";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"9";"9";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"10";"10";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"11";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"12";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"13";"13";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"14";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"15";"15";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"16";"16";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"17";"17";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"18";"18";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"19";"19";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"20";"20";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"21";"21";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"22";"22";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"23";"23";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"24";"24";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"6a";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"25";"25";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"6b";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"26";"26";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"27";"27";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"28";"28";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7a";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"29";"29";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"30";"30";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"31";"31";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"32";"32";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"33";"33";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"34";"34";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"35";"35";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"36";"36";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"37";"37";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"38";"38";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"39";"39";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"40";"40";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"41";"41";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"42";"42";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"43";"43";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7p";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 428TK1 spar";"e"
"44";"44";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7q";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 450TK1";""
"45";"45";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7r";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400P1
spare";""
"46";"46";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"47";"47";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"48";"48";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"49";"49";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"50";"50";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
"51";"51";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"8a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"52";"52";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"53";"53";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"9a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"54";"54";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"55";"55";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"56";"56";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"57";"57";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"58";"58";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"12a";"104";"= 400";"+ 400SPS";"general";"start warning";""
"59";"59";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"15";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
