"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"con_L_LeftUp";"default";"approved";"408.19";"496.83";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"con_L_LeftUp";"default";"approved";"419.53";"508.17";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"2";"con_L_LeftUp";"default";"approved";"430.87";"519.5";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"4";"3";"con_L_LeftUp";"default";"approved";"374.17";"292.73";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"5";"3";"con_L_LeftUp";"default";"approved";"396.85";"315.41";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"3";"con_L_LeftUp";"default";"approved";"385.51";"304.07";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"7";"5";"con_L_LeftUp";"default";"approved";"340.16";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"8";"5";"con_L_LeftUp";"default";"approved";"555.59";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"9";"5";"con_L_LeftUp";"default";"approved";"702.99";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"10";"5";"con_L_LeftUp";"default";"approved";"827.72";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"11";"5";"con_L_LeftUp";"default";"approved";"975.12";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"12";"5";"con_L_LeftUp";"default";"approved";"1167.87";"768.95";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"13";"6";"con_L_LeftUp";"default";"approved";"340.16";"224.7";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"14";"7";"con_L_LeftUp";"default";"approved";"260.79";"723.6";"1192.0";"871.0";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"15";"10";"con_L_LeftUp";"default";"approved";"340.16";"224.7";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"16";"10";"con_L_LeftUp";"default";"approved";"396.85";"372.1";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"17";"12";"con_L_LeftUp";"default";"approved";"260.79";"723.6";"1192.0";"871.0";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"18";"16";"con_L_LeftUp";"default";"approved";"260.79";"462.81";"1192.0";"871.0";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"19";"19";"con_L_LeftUp";"default";"approved";"1133.86";"723.6";"1192.0";"871.0";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"20";"19";"con_L_LeftUp";"default";"approved";"1065.83";"689.58";"1192.0";"871.0";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"21";"23";"con_L_LeftUp";"default";"approved";"260.79";"462.81";"1192.0";"871.0";"6";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"22";"25";"con_L_LeftUp";"default";"approved";"260.79";"723.6";"1192.0";"871.0";"6b";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"23";"27";"con_L_LeftUp";"default";"approved";"385.51";"417.46";"1192.0";"871.0";"7";"104";"= 400";"+ 400SPS";"lamps voltage";"control voltage 24V DC";""
"24";"50";"con_L_LeftUp";"default";"approved";"340.16";"224.7";"1192.0";"871.0";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
"25";"50";"con_L_LeftUp";"default";"approved";"396.85";"632.89";"1192.0";"871.0";"8";"104";"= 400";"+ 400SPS";"magnetc belt adjustment";"control voltage 0-24VDC";""
"26";"52";"con_L_LeftUp";"default";"approved";"340.16";"224.7";"1192.0";"871.0";"9";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"27";"54";"con_L_LeftUp";"default";"approved";"340.16";"814.31";"1192.0";"871.0";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"28";"54";"con_L_LeftUp";"default";"approved";"748.35";"814.31";"1192.0";"871.0";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"29";"55";"con_L_LeftUp";"default";"approved";"340.16";"814.31";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"30";"55";"con_L_LeftUp";"default";"approved";"929.76";"723.6";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"31";"55";"con_L_LeftUp";"default";"approved";"771.02";"712.26";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"32";"55";"con_L_LeftUp";"default";"approved";"827.72";"292.73";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"33";"55";"con_L_LeftUp";"default";"approved";"600.94";"496.83";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"34";"55";"con_L_LeftUp";"default";"approved";"668.98";"700.92";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"35";"55";"con_L_LeftUp";"default";"approved";"634.96";"496.83";"1192.0";"871.0";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
