"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"txt_1";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"54";"CAB_4";"A";"approved";"737.01";"292.73";"1192.0";"871.0";"-W27.1";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"2";"54";"CAB_4";"A";"approved";"124.72";"292.73";"1192.0";"871.0";"=411-W1.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"3";"54";"CAB_4";"A";"approved";"124.72";"474.15";"1192.0";"871.0";"=413-W3.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"4";"54";"CAB_4";"A";"approved";"124.72";"655.57";"1192.0";"871.0";"=418-W6.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"5";"54";"CAB_4";"A";"approved";"328.82";"655.57";"1192.0";"871.0";"=420-W8.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"6";"54";"CAB_4";"A";"approved";"328.82";"474.15";"1192.0";"871.0";"=420-W9.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"54";"CAB_4";"A";"approved";"328.82";"292.73";"1192.0";"871.0";"=420-W10.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"CAB_4";"A";"approved";"328.82";"111.31";"1192.0";"871.0";"=420-W11.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"54";"CAB_4";"A";"approved";"532.91";"292.73";"1192.0";"871.0";"=427-W15.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"54";"CAB_4";"A";"approved";"532.91";"474.15";"1192.0";"871.0";"=427-W16.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"11";"54";"CAB_4";"A";"approved";"532.91";"111.31";"1192.0";"871.0";"=427-W13.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"12";"54";"CAB_4";"A";"approved";"737.01";"474.15";"1192.0";"871.0";"=416-W5.1";"H05VV5-F 5G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"13";"54";"CAB_4";"A";"approved";"737.01";"111.31";"1192.0";"871.0";"-W27.2";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"14";"54";"CAB_4";"A";"approved";"952.44";"292.73";"1192.0";"871.0";"-W27.4";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"15";"54";"CAB_4";"A";"approved";"952.44";"111.31";"1192.0";"871.0";"-W27.3";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"16";"54";"CAB_4";"A";"approved";"952.44";"655.57";"1192.0";"871.0";"-W27.6";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"17";"54";"CAB_4";"A";"approved";"952.44";"474.15";"1192.0";"871.0";"-W27.5";"H05VV5-F 3G1.5 mm²";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"18";"55";"CAB_4";"A";"approved";"124.72";"292.73";"1192.0";"871.0";"-W27.8";"H05VV5-F 3G1.5 mm²";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"19";"55";"CAB_4";"A";"approved";"124.72";"111.31";"1192.0";"871.0";"-W27.7";"H05VV5-F 3G1.5 mm²";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"20";"55";"CAB_4";"A";"approved";"124.72";"474.15";"1192.0";"871.0";"=414-W1TK1";"H05VV5-F 3G1.5 mm²";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"21";"55";"CAB_4";"A";"approved";"328.82";"655.57";"1192.0";"871.0";"=418-W1TK2";"H05VV5-F 3G1.5 mm²";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
