"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"40";"X_Simple_DownUp";"A";"approved";"623.62";"689.58";"1192.0";"871.0";"";"PE";"";"7m";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK4";""
"2";"54";"X_Simple_DownUp";"A";"approved";"385.51";"757.61";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"3";"54";"X_Simple_DownUp";"A";"approved";"385.51";"791.63";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"4";"54";"X_Simple_DownUp";"A";"approved";"793.7";"576.2";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"5";"54";"X_Simple_DownUp";"A";"approved";"181.42";"394.78";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"6";"54";"X_Simple_DownUp";"A";"approved";"181.42";"428.8";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"54";"X_Simple_DownUp";"A";"approved";"181.42";"576.2";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"X_Simple_DownUp";"A";"approved";"181.42";"610.21";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"54";"X_Simple_DownUp";"A";"approved";"181.42";"757.61";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"54";"X_Simple_DownUp";"A";"approved";"181.42";"791.63";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
