"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"2";"X_Simple_DownUp_SZ_1st";"A";"approved";"204.09";"598.87";"1192.0";"871.0";"";"N";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"2";"2";"X_Simple_DownUp_SZ_1st";"A";"approved";"158.74";"598.87";"1192.0";"871.0";"";"11";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"2";"X_Simple_DownUp_SZ_1st";"A";"approved";"181.42";"598.87";"1192.0";"871.0";"";"12";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"4";"2";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"598.87";"1192.0";"871.0";"-400AX";"10";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"5";"5";"X_Simple_DownUp_SZ_1st";"A";"approved";"975.12";"610.21";"1192.0";"871.0";"=400-XP1";"1";"";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"258.72";"1192.0";"871.0";"=400-XP1";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"394.78";"1192.0";"871.0";"=411+411TK1 -XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"428.8";"1192.0";"871.0";"=411-XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"576.2";"1192.0";"871.0";"=413+413TK1 -XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"610.21";"1192.0";"871.0";"=413-XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"11";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"757.61";"1192.0";"871.0";"=418+418TK1 -XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"12";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"757.61";"1192.0";"871.0";"=420+420TK1 -XTK1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"13";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"791.63";"1192.0";"871.0";"=420-XTK1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"14";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"576.2";"1192.0";"871.0";"=420+420TK2 -XTK2";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"15";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"610.21";"1192.0";"871.0";"=420-XTK2";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"16";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"394.78";"1192.0";"871.0";"=420+420TK3 -XTK3";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"17";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"428.8";"1192.0";"871.0";"=420-XTK3";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"18";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"213.36";"1192.0";"871.0";"=420+420TK4 -XTK4";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"19";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"247.38";"1192.0";"871.0";"=420-XTK4";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"20";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"394.78";"1192.0";"871.0";"=427+427TK5 -XTK5";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"21";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"576.2";"1192.0";"871.0";"=427+427TK6 -XTK6";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"22";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"610.21";"1192.0";"871.0";"=427-XTK6";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"23";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"791.63";"1192.0";"871.0";"=428-XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"24";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"213.36";"1192.0";"871.0";"=427+427TK1 -XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"25";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"247.38";"1192.0";"871.0";"=427-XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"26";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"748.35";"791.63";"1192.0";"871.0";"=450-XTK1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"27";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"748.35";"576.2";"1192.0";"871.0";"=416+416TK1 -XTK1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"28";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"748.35";"610.21";"1192.0";"871.0";"=416-XTK1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"29";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"748.35";"428.8";"1192.0";"871.0";"-X1";"1";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"30";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"748.35";"247.38";"1192.0";"871.0";"-X1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"31";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"963.78";"428.8";"1192.0";"871.0";"-X1";"5";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"32";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"963.78";"247.38";"1192.0";"871.0";"-X1";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"33";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"963.78";"610.21";"1192.0";"871.0";"-X1";"6";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"34";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"963.78";"791.63";"1192.0";"871.0";"-X1";"7";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"35";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"791.63";"1192.0";"871.0";"=418-XTK1";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"36";"54";"X_Simple_DownUp_SZ_1st";"A";"approved";"544.25";"428.8";"1192.0";"871.0";"=427-XTK5";"2";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"37";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"247.38";"1192.0";"871.0";"-X1";"8";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"38";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"610.21";"1192.0";"871.0";"-X1";"10";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"39";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"428.8";"1192.0";"871.0";"-X1";"9";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"40";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"576.2";"1192.0";"871.0";"=414+414TK1 -XTK1";"2";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"41";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"136.06";"791.63";"1192.0";"871.0";"-X1";"11";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"42";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"632.89";"1192.0";"871.0";"-X1";"12";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"43";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"757.61";"1192.0";"871.0";"=418+418TK2 -XTK2";"9";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"44";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"791.63";"1192.0";"871.0";"-X1";"11";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"45";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"462.81";"1192.0";"871.0";"-X1";"13";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"46";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"440.13";"1192.0";"871.0";"-XV400A";"352";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"47";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"340.16";"247.38";"1192.0";"871.0";"=428 -XV400C";"1";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"48";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"634.96";"247.38";"1192.0";"871.0";"-XVG";"2";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"49";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"612.28";"678.24";"1192.0";"871.0";"-XP1";"12";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"50";"55";"X_Simple_DownUp_SZ_1st";"A";"approved";"1009.13";"236.04";"1192.0";"871.0";"-XVG";"6";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"51";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"102.05";"372.1";"1192.0";"871.0";"=400-XP1";"580";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"52";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"306.14";"372.1";"1192.0";"871.0";"=411-XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"53";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"306.14";"315.41";"1192.0";"871.0";"=411 +411TK1 -XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"54";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"408.19";"372.1";"1192.0";"871.0";"=413-XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"55";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"408.19";"315.41";"1192.0";"871.0";"=413 +413TK1 -XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"56";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"510.24";"372.1";"1192.0";"871.0";"=416-XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"57";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"510.24";"315.41";"1192.0";"871.0";"=416 +416TK1 -XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
"58";"57";"X_Simple_DownUp_SZ_1st";"A";"approved";"612.28";"372.1";"1192.0";"871.0";"=418-XTK1";"11";"";"12";"104";"= 400";"+ 400SPS";"general";"start warning";""
