"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"145.33";"1192.0";"871.0";"";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"2";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"224.7";"1192.0";"871.0";"";"L02";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"3";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"281.39";"1192.0";"871.0";"";"L03";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"4";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"360.76";"1192.0";"871.0";"";"L04";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"5";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"440.13";"1192.0";"871.0";"";"L05";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"6";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"281.39";"1192.0";"871.0";"";"L03";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"7";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"440.13";"1192.0";"871.0";"";"L05";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"8";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"99.98";"1192.0";"871.0";"";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"9";"4";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"202.02";"1192.0";"871.0";"";"L02";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"10";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L1.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"11";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"202.02";"1192.0";"871.0";"";"L1.10";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"12";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"281.39";"1192.0";"871.0";"";"L1.11";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"13";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"360.76";"1192.0";"871.0";"";"L1.12";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"440.13";"1192.0";"871.0";"";"L1.13";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"15";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"519.5";"1192.0";"871.0";"";"L1.14";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"16";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"598.87";"1192.0";"871.0";"";"L1.15";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"17";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"281.39";"1192.0";"871.0";"";"L1.11";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"18";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"360.76";"1192.0";"871.0";"";"L1.12";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"19";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"440.13";"1192.0";"871.0";"";"L1.13";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"20";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"519.5";"1192.0";"871.0";"";"L1.14";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"21";"8";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"99.98";"1192.0";"871.0";"";"L1.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"22";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L2.0";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"23";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L2.0";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"24";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"202.02";"1192.0";"871.0";"";"L2.10";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"25";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"281.39";"1192.0";"871.0";"";"L2.11";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"26";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"360.76";"1192.0";"871.0";"";"L2.12";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"27";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"440.13";"1192.0";"871.0";"";"L2.13";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"28";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"519.5";"1192.0";"871.0";"";"L2.14";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"29";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"598.87";"1192.0";"871.0";"";"L2.15";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"30";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"281.39";"1192.0";"871.0";"";"L2.11";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"31";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"360.76";"1192.0";"871.0";"";"L2.12";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"32";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"440.13";"1192.0";"871.0";"";"L1.13";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"33";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"519.5";"1192.0";"871.0";"";"L2.14";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"34";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"99.98";"1192.0";"871.0";"";"L2.0";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"35";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"202.02";"1192.0";"871.0";"";"L2.10";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"36";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"598.87";"1192.0";"871.0";"";"L2.15";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"37";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"678.24";"1192.0";"871.0";"";"L2.16";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"38";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"678.24";"1192.0";"871.0";"";"L2.16";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"39";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"249.45";"757.61";"1192.0";"871.0";"";"L2.17";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"40";"13";"X_Simple_H_3_Up_SZ";"A";"approved";"442.2";"757.61";"1192.0";"871.0";"";"L2.17";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
