"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"33";"con_Wire_End";"default";"approved";"793.7";"700.92";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"2";"33";"con_Wire_End";"default";"approved";"816.38";"700.92";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"3";"33";"con_Wire_End";"default";"approved";"839.06";"700.92";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"4";"33";"con_Wire_End";"default";"approved";"861.73";"700.92";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"5";"33";"con_Wire_End";"default";"approved";"895.75";"780.29";"1192.0";"871.0";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"6";"46";"con_Wire_End";"default";"approved";"759.69";"304.07";"1192.0";"871.0";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"7";"47";"con_Wire_End";"default";"approved";"759.69";"304.07";"1192.0";"871.0";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"8";"48";"con_Wire_End";"default";"approved";"759.69";"304.07";"1192.0";"871.0";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"9";"97";"con_Wire_End";"default";"approved";"317.48";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"10";"97";"con_Wire_End";"default";"approved";"362.83";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"11";"97";"con_Wire_End";"default";"approved";"385.51";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"12";"97";"con_Wire_End";"default";"approved";"408.19";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"13";"97";"con_Wire_End";"default";"approved";"430.87";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"14";"97";"con_Wire_End";"default";"approved";"453.54";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"15";"97";"con_Wire_End";"default";"approved";"476.22";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"16";"97";"con_Wire_End";"default";"approved";"498.9";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"17";"97";"con_Wire_End";"default";"approved";"294.8";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"18";"97";"con_Wire_End";"default";"approved";"340.16";"315.41";"1192.0";"871.0";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
