"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"54";"contact_signal_NO_2";"A";"approved";"385.52";"723.59";"1192.0";"871.0";"";"14";"13";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"2";"54";"contact_signal_NO_2";"A";"approved";"385.52";"360.76";"1192.0";"871.0";"";"14";"13";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"3";"54";"contact_signal_NO_2";"A";"approved";"589.62";"360.76";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"4";"54";"contact_signal_NO_2";"A";"approved";"589.62";"542.18";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"5";"54";"contact_signal_NO_2";"A";"approved";"793.71";"542.18";"1192.0";"871.0";"";"14";"13";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"6";"54";"contact_signal_NO_2";"A";"approved";"181.43";"360.76";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"54";"contact_signal_NO_2";"A";"approved";"181.43";"542.18";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"8";"54";"contact_signal_NO_2";"A";"approved";"181.43";"723.59";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"9";"54";"contact_signal_NO_2";"A";"approved";"385.52";"542.18";"1192.0";"871.0";"";"14";"13";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"10";"54";"contact_signal_NO_2";"A";"approved";"385.52";"179.34";"1192.0";"871.0";"";"14";"13";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"11";"54";"contact_signal_NO_2";"A";"approved";"589.62";"179.34";"1192.0";"871.0";"";"13";"14";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
