"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"385.51";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.120";"==20.9400.101/4.2";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"2";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"226.77";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.00";"==20.9400.101/4.1";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"3";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"362.83";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.120";"==20.9400.101/4.2";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"4";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"204.09";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.00";"==20.9400.101/4.1";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"5";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"442.2";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.130";"==20.9400.101/4.2";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"6";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"283.46";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.110";"==20.9400.101/4.1";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"7";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"306.14";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.110";"==20.9400.101/4.1";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"8";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"544.25";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.130";"==20.9400.101/4.3";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"9";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"600.94";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.14 0";"==20.9400.101/4.3";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"10";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"623.62";"740.61";"1192.0";"871.0";"+400A-XV400A:L1.140";"==20.9400.101/4.3";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"11";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"680.31";"740.61";"1192.0";"871.0";"+400A-XV400A:spare0";"==20.9400.101/4.4";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"12";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"702.99";"740.61";"1192.0";"871.0";"+400A-XV400A:spare0";"==20.9400.101/4.4";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"13";"9";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"737.01";"740.61";"1192.0";"871.0";"+400A-PE";"==20.9400.101/4.4";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"14";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"464.88";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.12 0";"==20.9400.101/4a.3";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"15";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"226.77";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.00";"==20.9400.101/4a.1";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"16";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"442.2";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.120";"==20.9400.101/4a.2";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"17";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"204.09";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.00";"==20.9400.101/4a.1";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"18";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"521.57";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.130";"==20.9400.101/4a.3";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"19";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"283.46";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.100";"==20.9400.101/4a.1";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"20";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"306.14";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.100";"==20.9400.101/4a.1";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"21";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"544.25";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.130";"==20.9400.101/4a.3";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"22";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"600.94";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.14 0";"==20.9400.101/4a.4";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"23";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"623.62";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.140";"==20.9400.101/4a.4";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"24";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"362.83";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.110";"==20.9400.101/4a.2";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"25";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"385.51";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.110";"==20.9400.101/4a.2";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"26";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"680.31";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.150";"==20.9400.101/4a.4";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"27";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"702.99";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.150";"==20.9400.101/4a.4";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"28";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"759.69";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.170";"==20.9400.101/4a.5";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"29";"14";"BreakPoint_V_5.4_UD_SZ";"variant_0";"approved";"782.36";"740.61";"1192.0";"871.0";"+400A-XV400A:L2.170";"==20.9400.101/4a.5";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
