"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"plc";"txt_1";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"60";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-ZG1/7";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.3";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"2";"60";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-ZG1/9";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.4";"15a";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"3";"61";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-ZG1/11";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.5";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"4";"61";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-ZG1/12";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.6";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"5";"61";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-ZG1/13";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.6";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"6";"61";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-ZG1/14";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.7";"15b";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"7";"62";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-ZG1/15";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.7";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"8";"62";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-ZG1/16";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/15.8";"15c";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"9";"65";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-EG1.1/2";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.1";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"65";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG1.1/3";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.1";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"65";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG1.1/4";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.2";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"65";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-EG1.1/5";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.2";"16a";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"66";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-EG1.1/6";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.3";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"14";"66";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG1.1/7";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.3";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"66";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG1.1/8";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.4";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"66";"S7-400-DI";"A";"approved";"907.09";"179.35";"1192.0";"871.0";"-EG1.1/9";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.4";"16b";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"67";"S7-400-DI";"A";"approved";"56.69";"179.35";"1192.0";"871.0";"-EG1.1/10";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.5";"16c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"67";"S7-400-DI";"A";"approved";"340.16";"179.35";"1192.0";"871.0";"-EG1.1/11";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.5";"16c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"67";"S7-400-DI";"A";"approved";"623.62";"179.35";"1192.0";"871.0";"-EG1.1/12";"PLC-I";"6ES7421-1BL01-0AA0
6EZ2041-8UG07-0EU36";"/16.6";"16c";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
