"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"2";"4";"X_Simple_H_4_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L01";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"3";"4";"X_Simple_H_4_SZ";"A";"approved";"249.45";"202.02";"1192.0";"871.0";"";"L02";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"4";"8";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L1.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"5";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"6";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"7";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"145.33";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"8";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"168.01";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"9";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"190.69";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"10";"20";"X_Simple_H_4_SZ";"A";"approved";"249.45";"213.36";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"11";"20";"X_Simple_H_4_SZ";"A";"approved";"442.2";"99.98";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"12";"20";"X_Simple_H_4_SZ";"A";"approved";"442.2";"122.65";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"13";"20";"X_Simple_H_4_SZ";"A";"approved";"442.2";"145.33";"1192.0";"871.0";"";"L3-";"5b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"15";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"16";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"145.33";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"17";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"168.01";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"18";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"190.69";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"19";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"213.36";"1192.0";"871.0";"";"L4-";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"20";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"519.5";"1192.0";"871.0";"";"L4.1";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"21";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"440.13";"1192.0";"871.0";"";"L4.1";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"22";"26";"X_Simple_H_4_SZ";"A";"approved";"249.45";"360.76";"1192.0";"871.0";"";"L4.1";"6c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"23";"29";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L5-";"7b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"24";"29";"X_Simple_H_4_SZ";"A";"approved";"249.45";"122.65";"1192.0";"871.0";"";"L5-";"7b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"25";"32";"X_Simple_H_4_SZ";"A";"approved";"555.59";"542.18";"1192.0";"871.0";"";"L5-2";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"26";"32";"X_Simple_H_4_SZ";"A";"approved";"578.27";"542.18";"1192.0";"871.0";"";"L5-1";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"27";"32";"X_Simple_H_4_SZ";"A";"approved";"555.59";"655.57";"1192.0";"871.0";"";"L5-2";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"28";"32";"X_Simple_H_4_SZ";"A";"approved";"578.27";"655.57";"1192.0";"871.0";"";"L5-1";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"29";"49";"X_Simple_H_4_SZ";"A";"approved";"306.14";"655.57";"1192.0";"871.0";"";"L3.1";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"30";"49";"X_Simple_H_4_SZ";"A";"approved";"340.16";"655.57";"1192.0";"871.0";"";"L3.1";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"31";"49";"X_Simple_H_4_SZ";"A";"approved";"374.17";"655.57";"1192.0";"871.0";"";"L3.1";"7w";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution TEXPAN BOX";""
"32";"51";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L6.0";"8a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"33";"51";"X_Simple_H_4_SZ";"A";"approved";"249.45";"202.02";"1192.0";"871.0";"";"L6.1";"8a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"34";"53";"X_Simple_H_4_SZ";"A";"approved";"249.45";"99.98";"1192.0";"871.0";"";"L7.0";"9a";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
