"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"204.09";"666.91";"1192.0";"871.0";"";"L1.0";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"2";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"283.46";"666.91";"1192.0";"871.0";"";"L1.11";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"3";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"666.91";"1192.0";"871.0";"";"L1.12";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"4";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"442.2";"666.91";"1192.0";"871.0";"";"L1.13";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"5";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"600.94";"666.91";"1192.0";"871.0";"";"L1.14";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"6";"9";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"680.32";"666.91";"1192.0";"871.0";"";"spare";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"7";"10";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"975.12";"666.91";"1192.0";"871.0";"=428 -X11VQ";"L2.16";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"283.46";"666.91";"1192.0";"871.0";"";"L2.10";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"9";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"442.2";"666.91";"1192.0";"871.0";"";"L2.12";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"10";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"521.57";"666.91";"1192.0";"871.0";"";"L2.13";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"11";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"600.94";"666.91";"1192.0";"871.0";"";"L2.14";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"12";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"362.83";"666.91";"1192.0";"871.0";"";"L2.11";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"13";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"680.32";"666.91";"1192.0";"871.0";"";"L2.15";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"14";"14";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"759.69";"666.91";"1192.0";"871.0";"";"L2.17";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"15";"15";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"317.48";"644.23";"1192.0";"871.0";"";"L1.12";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"16";"21";"X_Simple_V_3_Right_SZ";"variant_0";"approved";"283.46";"655.57";"1192.0";"871.0";"";"L3.11+";"";"5c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
