"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"txt_1";"txt_2";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"7";"KL_KL_MAX";"A";"approved";"260.79";"689.58";"1192.0";"871.0";"-K010";"A1";"A2";"/22.3";"3RTH8244-0AM0";"";"";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"2";"12";"KL_KL_MAX";"A";"approved";"260.79";"689.58";"1192.0";"871.0";"-K020";"A1";"A2";"/22.3";"3RTH8244-0AM0";"";"";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"3";"19";"KL_KL_MAX";"A";"approved";"873.07";"689.58";"1192.0";"871.0";"=428 -K11H";"A1";"A2";"/4a.3 /3.8 =428/342.9";"3RTH4040-0BB4";"Reserve";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"4";"19";"KL_KL_MAX";"A";"approved";"1133.86";"689.58";"1192.0";"871.0";"-K030";"+";"-";"/22.2";"RG2";"";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"5";"25";"KL_KL_MAX";"A";"approved";"260.79";"689.58";"1192.0";"871.0";"-K040";"+";"-";"/22.2";"RG2";"";"";"6b";"104";"= 400";"+ 400SPS";"valve voltage";"control voltage 24V DC";""
"6";"55";"KL_KL_MAX";"A";"approved";"771.02";"689.58";"1192.0";"871.0";"-K0";"A1";"A2";"/11.4 /23.9 /10a.8 /10a.8 /10a.9 /10a.5";"3TH8262";"";"";"10a";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"7";"56";"KL_KL_MAX";"A";"approved";"181.42";"678.24";"1192.0";"871.0";"-K1";"A1";"A2";"/11.2 /22.7";"3TH8280";"";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"8";"56";"KL_KL_MAX";"A";"approved";"1031.81";"678.24";"1192.0";"871.0";"-K3";"A1";"A2";"=411/55a.8 =411/57a.8 =413/85a.8 =413/87a.8 =418/128a.8 =418/130a.8 =418/130c.8";"3TH8280";"";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"9";"56";"KL_KL_MAX";"A";"approved";"272.13";"678.24";"1192.0";"871.0";"-K1.1";"A1";"A2";"/3.2 /3.3 /3.3";"3TB4117";"";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
"10";"56";"KL_KL_MAX";"A";"approved";"385.51";"678.24";"1192.0";"871.0";"-K1T";"A1";"A2";"15/22.8";"7PU4020";"";"";"11";"104";"= 400";"+ 400SPS";"general";"control voltage
switch on";""
