"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"30";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 411TK1";""
"2";"31";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 413TK1";""
"3";"32";"X_Simple_UpDown";"A";"approved";"634.96";"655.57";"1192.0";"871.0";"";"PE";"";"7e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 414TK1";""
"4";"33";"X_Simple_UpDown";"A";"approved";"646.3";"587.54";"1192.0";"871.0";"";"PE";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"5";"33";"X_Simple_UpDown";"A";"approved";"759.68";"587.54";"1192.0";"871.0";"";"PE";"";"7f";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 416TK1";""
"6";"34";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7g";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 418TK1";""
"7";"35";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7h";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK1";""
"8";"36";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7i";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK2";""
"9";"37";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7j";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK3";""
"10";"38";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7k";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 420TK4";""
"11";"39";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"12";"39";"X_Simple_UpDown";"A";"approved";"1043.15";"655.57";"1192.0";"871.0";"";"PE";"";"7l";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK1";""
"13";"41";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7n";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK5";""
"14";"42";"X_Simple_UpDown";"A";"approved";"691.65";"655.57";"1192.0";"871.0";"";"PE";"";"7o";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 427TK6";""
"15";"46";"X_Simple_UpDown";"A";"approved";"1122.52";"326.75";"1192.0";"871.0";"";"PE";"";"7s";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution A1-A4";""
"16";"47";"X_Simple_UpDown";"A";"approved";"793.7";"326.75";"1192.0";"871.0";"";"PE";"";"7t";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution B1-B5";""
"17";"48";"X_Simple_UpDown";"A";"approved";"1122.52";"326.75";"1192.0";"871.0";"";"PE";"";"7v";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution D1-D4";""
"18";"54";"X_Simple_UpDown";"A";"approved";"385.51";"689.58";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"19";"54";"X_Simple_UpDown";"A";"approved";"793.7";"508.17";"1192.0";"871.0";"";"4";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"20";"54";"X_Simple_UpDown";"A";"approved";"827.71";"508.17";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"21";"54";"X_Simple_UpDown";"A";"approved";"181.41";"270.06";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"22";"54";"X_Simple_UpDown";"A";"approved";"181.41";"326.75";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"23";"54";"X_Simple_UpDown";"A";"approved";"215.43";"326.75";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"24";"54";"X_Simple_UpDown";"A";"approved";"181.41";"451.47";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"25";"54";"X_Simple_UpDown";"A";"approved";"181.41";"508.17";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"26";"54";"X_Simple_UpDown";"A";"approved";"215.43";"508.17";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"27";"54";"X_Simple_UpDown";"A";"approved";"181.41";"632.89";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"28";"54";"X_Simple_UpDown";"A";"approved";"181.41";"689.58";"1192.0";"871.0";"";"3";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
"29";"54";"X_Simple_UpDown";"A";"approved";"215.43";"689.58";"1192.0";"871.0";"";"PE";"";"10";"104";"= 400";"+ 400SPS";"general";"Emergency stop";""
