"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"5";"X_Simple_V_3_Left_SZ";"A";"approved";"997.8";"712.26";"1192.0";"871.0";"";"L01";"";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"226.77";"666.91";"1192.0";"871.0";"";"L1.0";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"3";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"666.91";"1192.0";"871.0";"";"L1.11";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"4";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"385.51";"666.91";"1192.0";"871.0";"";"L1.12";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"5";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"544.25";"666.91";"1192.0";"871.0";"";"L1.13";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"6";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"623.62";"666.91";"1192.0";"871.0";"";"L1.14";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"7";"9";"X_Simple_V_3_Left_SZ";"A";"approved";"702.99";"666.91";"1192.0";"871.0";"";"spare";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"8";"10";"X_Simple_V_3_Left_SZ";"A";"approved";"1009.13";"666.91";"1192.0";"871.0";"";"L2.16";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"9";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"226.77";"666.91";"1192.0";"871.0";"";"L2.0";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"10";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"306.14";"666.91";"1192.0";"871.0";"";"L2.10";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"11";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"464.88";"666.91";"1192.0";"871.0";"";"L2.12";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"12";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"544.25";"666.91";"1192.0";"871.0";"";"L2.13";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"13";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"623.62";"666.91";"1192.0";"871.0";"";"L2.14";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"14";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"385.51";"666.91";"1192.0";"871.0";"";"L2.11";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"15";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"702.99";"666.91";"1192.0";"871.0";"";"L2.15";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"16";"14";"X_Simple_V_3_Left_SZ";"A";"approved";"782.36";"666.91";"1192.0";"871.0";"";"L2.17";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"17";"15";"X_Simple_V_3_Left_SZ";"A";"approved";"226.77";"644.23";"1192.0";"871.0";"";"L2.12";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"18";"15";"X_Simple_V_3_Left_SZ";"A";"approved";"283.46";"644.23";"1192.0";"871.0";"";"L2.0";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"19";"15";"X_Simple_V_3_Left_SZ";"A";"approved";"340.16";"644.23";"1192.0";"871.0";"";"L1.12";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"20";"15";"X_Simple_V_3_Left_SZ";"A";"approved";"396.85";"644.23";"1192.0";"871.0";"";"L1.0";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"21";"16";"X_Simple_V_3_Left_SZ";"A";"approved";"419.53";"734.94";"1192.0";"871.0";"";"L3.10";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"22";"17";"X_Simple_V_3_Left_SZ";"A";"approved";"476.22";"678.24";"1192.0";"871.0";"";"L3.19+";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"23";"19";"X_Simple_V_3_Left_SZ";"A";"approved";"861.73";"508.17";"1192.0";"871.0";"";"L2.0";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"24";"19";"X_Simple_V_3_Left_SZ";"A";"approved";"918.43";"485.49";"1192.0";"871.0";"";"L3-";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"25";"21";"X_Simple_V_3_Left_SZ";"A";"approved";"238.11";"655.57";"1192.0";"871.0";"";"L3-";"";"5c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
