"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"con_L_LeftDown";"default";"approved";"396.85";"156.67";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"2";"3";"con_L_LeftDown";"default";"approved";"737.01";"485.49";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"3";"3";"con_L_LeftDown";"default";"approved";"238.11";"88.64";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"3";"con_L_LeftDown";"default";"approved";"215.43";"77.3";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"5";"3";"con_L_LeftDown";"default";"approved";"192.76";"65.96";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"5";"con_L_LeftDown";"default";"approved";"1167.87";"666.91";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"7";"5";"con_L_LeftDown";"default";"approved";"340.16";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"8";"5";"con_L_LeftDown";"default";"approved";"555.59";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"9";"5";"con_L_LeftDown";"default";"approved";"702.99";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"10";"5";"con_L_LeftDown";"default";"approved";"827.72";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"11";"5";"con_L_LeftDown";"default";"approved";"975.12";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"12";"5";"con_L_LeftDown";"default";"approved";"1099.84";"542.18";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"13";"6";"con_L_LeftDown";"default";"approved";"1020.47";"394.78";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
