"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"1";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1";"51";"= OVERVIEW";"+";"";"base sheet";"";"1";"51";"= OVERVIEW";"+";"";"base sheet";""
"2";"2";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";"";"1";"104";"= 400";"+ 400SPS";"general";"power supply
380V";""
"3";"3";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";"";"1a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"4";"4";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";"";"1b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"5";"5";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";"";"1c";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC UPS";""
"6";"6";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"2";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"7";"7";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"2a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"8";"8";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";"";"2b";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"9";"9";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";"";"2c";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"10";"10";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"3";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"11";"11";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"3a";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"12";"12";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";"";"3b";"104";"= 400";"+ 400SPS";"general";"control voltage 220VAC";""
"13";"13";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";"";"3c";"104";"= 400";"+ 400SPS";"general";"power supply / potential distribution 400SPS";""
"14";"14";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";"";"3d";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400A";""
"15";"15";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";"";"3e";"104";"= 400";"+ 400SPS";"control voltage";"power supply / potential distribution 400H10";""
"16";"16";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";"";"4";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"17";"17";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";"";"4a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"18";"18";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";"";"5";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
"19";"19";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";"";"5a";"104";"= 400";"+ 400SPS";"general";"control voltage 24V DC";""
