"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_T_UP";"default";"approved";"544.25";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_T_UP";"default";"approved";"623.62";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_T_UP";"default";"approved";"702.99";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_T_UP";"default";"approved";"782.36";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_T_UP";"default";"approved";"861.73";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_T_UP";"default";"approved";"941.1";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"con_T_UP";"default";"approved";"1020.47";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"20";"con_T_UP";"default";"approved";"181.42";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"9";"20";"con_T_UP";"default";"approved";"294.8";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"10";"20";"con_T_UP";"default";"approved";"408.19";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"11";"20";"con_T_UP";"default";"approved";"521.57";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"12";"20";"con_T_UP";"default";"approved";"634.96";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"13";"21";"con_T_UP";"default";"approved";"725.67";"706.59";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
