"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"BreakPoint_V_2.1_UD";"1";"approved";"317.48";"423.13";"1192.0";"871.0";"==20.9400.201/23.2";"";"XV 2 0A 29";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"BreakPoint_V_2.1_UD";"1";"approved";"351.5";"423.13";"1192.0";"871.0";"==20.9400.201/23.4";"";"-PE";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"6";"BreakPoint_V_2.1_UD";"1";"approved";"170.08";"411.79";"1192.0";"871.0";"1L2.11";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"6";"BreakPoint_V_2.1_UD";"1";"approved";"192.76";"411.79";"1192.0";"871.0";"1L3.11";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"6";"BreakPoint_V_2.1_UD";"1";"approved";"272.13";"411.79";"1192.0";"871.0";"1L1.12";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"6";"BreakPoint_V_2.1_UD";"1";"approved";"294.8";"411.79";"1192.0";"871.0";"1L2.12";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"6";"BreakPoint_V_2.1_UD";"1";"approved";"317.48";"411.79";"1192.0";"871.0";"1L3.12";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"6";"BreakPoint_V_2.1_UD";"1";"approved";"419.53";"411.79";"1192.0";"871.0";"1L2.13";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"6";"BreakPoint_V_2.1_UD";"1";"approved";"442.2";"411.79";"1192.0";"871.0";"1L3.13";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"6";"BreakPoint_V_2.1_UD";"1";"approved";"544.25";"411.79";"1192.0";"871.0";"1L2.14";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"6";"BreakPoint_V_2.1_UD";"1";"approved";"566.93";"411.79";"1192.0";"871.0";"1L3.14";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"12";"6";"BreakPoint_V_2.1_UD";"1";"approved";"668.98";"411.79";"1192.0";"871.0";"1L2.15";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"13";"6";"BreakPoint_V_2.1_UD";"1";"approved";"691.65";"411.79";"1192.0";"871.0";"1L3.15";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"6";"BreakPoint_V_2.1_UD";"1";"approved";"793.7";"411.79";"1192.0";"871.0";"1L2.16";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"6";"BreakPoint_V_2.1_UD";"1";"approved";"816.38";"411.79";"1192.0";"871.0";"1L3.16";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"6";"BreakPoint_V_2.1_UD";"1";"approved";"918.43";"411.79";"1192.0";"871.0";"1L2.17";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"6";"BreakPoint_V_2.1_UD";"1";"approved";"941.1";"411.79";"1192.0";"871.0";"1L3.17";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"18";"6";"BreakPoint_V_2.1_UD";"1";"approved";"1043.15";"411.79";"1192.0";"871.0";"1L2.18";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"19";"6";"BreakPoint_V_2.1_UD";"1";"approved";"1065.83";"411.79";"1192.0";"871.0";"1L3.18";"";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"20";"6";"BreakPoint_V_2.1_UD";"1";"approved";"147.4";"411.79";"1192.0";"871.0";"1L1.11";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"21";"6";"BreakPoint_V_2.1_UD";"1";"approved";"396.85";"411.79";"1192.0";"871.0";"1L1.13";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"22";"6";"BreakPoint_V_2.1_UD";"1";"approved";"521.57";"411.79";"1192.0";"871.0";"1L1.14";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"23";"6";"BreakPoint_V_2.1_UD";"1";"approved";"646.3";"411.79";"1192.0";"871.0";"1L1.15";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"24";"6";"BreakPoint_V_2.1_UD";"1";"approved";"771.02";"411.79";"1192.0";"871.0";"1L1.16";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"25";"6";"BreakPoint_V_2.1_UD";"1";"approved";"895.75";"411.79";"1192.0";"871.0";"1L1.17";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"26";"6";"BreakPoint_V_2.1_UD";"1";"approved";"1020.47";"411.79";"1192.0";"871.0";"1L1.18";"";"3/PE 380V~ 50Hz";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"27";"7";"BreakPoint_V_2.1_UD";"1";"approved";"170.08";"411.79";"1192.0";"871.0";"1L2.19";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"28";"7";"BreakPoint_V_2.1_UD";"1";"approved";"192.76";"411.79";"1192.0";"871.0";"1L3.19";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"29";"7";"BreakPoint_V_2.1_UD";"1";"approved";"294.8";"411.79";"1192.0";"871.0";"1L2.20";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"30";"7";"BreakPoint_V_2.1_UD";"1";"approved";"317.48";"411.79";"1192.0";"871.0";"1L3.20";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"31";"7";"BreakPoint_V_2.1_UD";"1";"approved";"1031.81";"411.79";"1192.0";"871.0";"1L2";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"32";"7";"BreakPoint_V_2.1_UD";"1";"approved";"1054.49";"411.79";"1192.0";"871.0";"1L3";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"33";"7";"BreakPoint_V_2.1_UD";"1";"approved";"419.53";"411.79";"1192.0";"871.0";"1L2.21";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"34";"7";"BreakPoint_V_2.1_UD";"1";"approved";"442.2";"411.79";"1192.0";"871.0";"1L3.21";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"35";"7";"BreakPoint_V_2.1_UD";"1";"approved";"544.25";"411.79";"1192.0";"871.0";"1L2.22";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"36";"7";"BreakPoint_V_2.1_UD";"1";"approved";"566.93";"411.79";"1192.0";"871.0";"1L3.22";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"37";"7";"BreakPoint_V_2.1_UD";"1";"approved";"668.98";"411.79";"1192.0";"871.0";"1L2.23";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"38";"7";"BreakPoint_V_2.1_UD";"1";"approved";"691.65";"411.79";"1192.0";"871.0";"1L3.23";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"39";"7";"BreakPoint_V_2.1_UD";"1";"approved";"793.7";"411.79";"1192.0";"871.0";"1L2.24";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"40";"7";"BreakPoint_V_2.1_UD";"1";"approved";"816.38";"411.79";"1192.0";"871.0";"1L3.24";"";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"41";"7";"BreakPoint_V_2.1_UD";"1";"approved";"147.4";"411.79";"1192.0";"871.0";"1L1.19";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"42";"7";"BreakPoint_V_2.1_UD";"1";"approved";"272.13";"411.79";"1192.0";"871.0";"1L1.20";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"43";"7";"BreakPoint_V_2.1_UD";"1";"approved";"396.85";"411.79";"1192.0";"871.0";"1L1.21";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"44";"7";"BreakPoint_V_2.1_UD";"1";"approved";"521.57";"411.79";"1192.0";"871.0";"1L1.22";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"45";"7";"BreakPoint_V_2.1_UD";"1";"approved";"646.3";"411.79";"1192.0";"871.0";"1L1.23";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"46";"7";"BreakPoint_V_2.1_UD";"1";"approved";"771.02";"411.79";"1192.0";"871.0";"1L1.24";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"47";"7";"BreakPoint_V_2.1_UD";"1";"approved";"1009.13";"411.79";"1192.0";"871.0";"1L1";"";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"48";"7";"BreakPoint_V_2.1_UD";"1";"approved";"918.43";"411.79";"1192.0";"871.0";"11.1L2";"=414/4.1";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"49";"7";"BreakPoint_V_2.1_UD";"1";"approved";"941.1";"411.79";"1192.0";"871.0";"11.1L3";"=414/4.2";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"50";"7";"BreakPoint_V_2.1_UD";"1";"approved";"895.75";"411.79";"1192.0";"871.0";"11.1L1";"=414/4.0";"3/PE 380V~ 50Hz";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"51";"7";"BreakPoint_V_2.1_UD";"1";"approved";"963.78";"411.79";"1192.0";"871.0";"11.1_PE";"=414/4.2";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
