"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_T_RIGTH";"default";"approved";"498.9";"315.41";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_T_RIGTH";"default";"approved";"544.25";"338.09";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_T_RIGTH";"default";"approved";"136.06";"519.5";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_T_RIGTH";"default";"approved";"158.74";"530.84";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_T_RIGTH";"default";"approved";"181.42";"542.18";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_T_RIGTH";"default";"approved";"544.25";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"8";"con_T_RIGTH";"default";"approved";"136.06";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"8";"8";"con_T_RIGTH";"default";"approved";"204.09";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"9";"8";"con_T_RIGTH";"default";"approved";"272.13";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"10";"8";"con_T_RIGTH";"default";"approved";"340.16";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"11";"8";"con_T_RIGTH";"default";"approved";"408.19";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"12";"8";"con_T_RIGTH";"default";"approved";"476.22";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"13";"9";"con_T_RIGTH";"default";"approved";"136.06";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"9";"con_T_RIGTH";"default";"approved";"204.09";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"9";"con_T_RIGTH";"default";"approved";"272.13";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"9";"con_T_RIGTH";"default";"approved";"340.16";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"9";"con_T_RIGTH";"default";"approved";"408.19";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"18";"9";"con_T_RIGTH";"default";"approved";"476.22";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"19";"9";"con_T_RIGTH";"default";"approved";"544.25";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"20";"9";"con_T_RIGTH";"default";"approved";"612.28";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"21";"10";"con_T_RIGTH";"default";"approved";"136.06";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"22";"10";"con_T_RIGTH";"default";"approved";"204.09";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"23";"10";"con_T_RIGTH";"default";"approved";"272.13";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"24";"10";"con_T_RIGTH";"default";"approved";"340.16";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"25";"19";"con_T_RIGTH";"default";"approved";"170.08";"202.02";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"26";"19";"con_T_RIGTH";"default";"approved";"192.76";"190.69";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"27";"19";"con_T_RIGTH";"default";"approved";"215.43";"179.35";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"28";"19";"con_T_RIGTH";"default";"approved";"215.43";"270.06";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"29";"19";"con_T_RIGTH";"default";"approved";"192.76";"281.39";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"30";"19";"con_T_RIGTH";"default";"approved";"170.08";"292.73";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"31";"20";"con_T_RIGTH";"default";"approved";"861.73";"156.67";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"32";"20";"con_T_RIGTH";"default";"approved";"861.73";"236.04";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"33";"21";"con_T_RIGTH";"default";"approved";"725.67";"576.2";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"34";"38";"con_T_RIGTH";"default";"approved";"170.08";"202.02";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"35";"38";"con_T_RIGTH";"default";"approved";"192.76";"190.69";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"36";"38";"con_T_RIGTH";"default";"approved";"215.43";"179.35";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"37";"38";"con_T_RIGTH";"default";"approved";"215.43";"270.06";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"38";"38";"con_T_RIGTH";"default";"approved";"192.76";"281.39";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"39";"38";"con_T_RIGTH";"default";"approved";"170.08";"292.73";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"40";"39";"con_T_RIGTH";"default";"approved";"861.73";"156.67";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"41";"39";"con_T_RIGTH";"default";"approved";"861.73";"236.04";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"42";"49";"con_T_RIGTH";"default";"approved";"170.08";"202.02";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"43";"49";"con_T_RIGTH";"default";"approved";"192.76";"190.69";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"44";"49";"con_T_RIGTH";"default";"approved";"215.43";"179.35";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"45";"49";"con_T_RIGTH";"default";"approved";"215.43";"270.06";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"46";"49";"con_T_RIGTH";"default";"approved";"192.76";"281.39";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"47";"49";"con_T_RIGTH";"default";"approved";"170.08";"292.73";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"48";"49";"con_T_RIGTH";"default";"approved";"975.12";"156.67";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
