"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"link";"txt_1";"txt_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"49";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q3.1";"1";"2";"3";"4";"5";"6";"/41.4";"3VU1300";"4-6A
b=5,4A";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"2";"49";"AZD_H_11";"A";"approved";"170.08";"440.14";"1192.0";"871.0";"-Q3.2";"1";"2";"3";"4";"5";"6";"/41.4";"3VU1300";"2,4-4A
b=3,3A";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"3";"50";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q6";"1";"2";"3";"4";"5";"6";"/42.5";"3VU1300";"0,6-1A
b=0,65A";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"4";"51";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q25";"1";"2";"3";"4";"5";"6";"/43.5";"3VU1300";"2,4-4A
b=2,9A";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"5";"52";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q0";"1";"2";"3";"4";"5";"6";"/44.6";"3VU1300";"18-25A
b=18,5A";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"6";"53";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q1";"1";"2";"3";"4";"5";"6";"/45.6";"3VU1300";"18-25A
b=18,5A";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"7";"54";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q10";"1";"2";"3";"4";"5";"6";"/46.6";"3VU1300";"1,6-2,4A
b=2,2A";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"8";"55";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q11";"1";"2";"3";"4";"5";"6";"/47.6";"3VU1300";"4-6A
b=5,2A";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"9";"56";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q13";"1";"2";"3";"4";"5";"6";"/48.6";"3VU1300";"2,4-4A
b=2,85A";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"10";"57";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q14";"1";"2";"3";"4";"5";"6";"/49.6";"3VU1300";"1,6-2,4A
b=2,2A";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"11";"58";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q15";"1";"2";"3";"4";"5";"6";"/50.6";"3VU1300";"1,6-2,4A
b=2,1A";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"12";"59";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q16";"1";"2";"3";"4";"5";"6";"/51.6";"3VU1300";"1,6-2,4A
b=2,1A";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"13";"60";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q17.1";"1";"2";"3";"4";"5";"6";"/52a.1";"3VU1300";"0,6-1A
b=0,87A";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"14";"60";"AZD_H_11";"A";"approved";"170.08";"440.14";"1192.0";"871.0";"-Q17.2";"1";"2";"3";"4";"5";"6";"/52a.1";"3VU1300";"0,4-0,6A
b=0,47A";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"15";"62";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q18";"1";"2";"3";"4";"5";"6";"/53.6";"3VU1300";"0,24-0,4A
b=0,28A";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"16";"62";"AZD_H_11";"A";"approved";"385.51";"168.01";"1192.0";"871.0";"-Q19";"1";"2";"3";"4";"5";"6";"/53.7";"3VU1300";"0,24-0,4A
b=0,28A";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"17";"63";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q20";"1";"2";"3";"4";"5";"6";"/54.6";"3VU1300";"6-10A
b=6,9A";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"18";"64";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q21";"1";"2";"3";"4";"5";"6";"/55.6";"3VU1300";"1-1,6A
b=1,3A";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
