"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"50";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M6";"";"NYY-J 4x1.5 mm²";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"2";"50";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+TEXPAN BOX
-W2M6";"";"NYY-J 4x1.5 mm²
pre-wired";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"3";"51";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M25";"";"NYY-J 4x2.5 mm²";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"4";"51";"CAB_2";"A";"approved";"158.74";"632.89";"1192.0";"871.0";"+B4 -W2M25";"";"NYY-J 4x2.5 mm² pre-wired";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"5";"52";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M0";"";"NYY-J 4x10 mm²";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"6";"52";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D4
-W2M0";"";"NYY-J 4x10 mm²
pre-wired";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"7";"53";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M1";"";"NYY-J 4x10 mm²";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"8";"53";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D4
-W2M1";"";"NYY-J 4x10 mm²
pre-wired";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"9";"54";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M10";"";"NYY-J 4x1.5 mm²";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"10";"54";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D2
-W2M10";"";"NYY-J 4x1.5 mm²
pre-wired";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"11";"55";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M11";"";"NYY-J 4x2.5 mm²";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"12";"55";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D2
-W2M11";"";"NYY-J 4x2.5 mm²
pre-wired";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"13";"56";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M13";"";"NYY-J 4x2.5 mm²";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"14";"56";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D2
-W2M13";"";"NYY-J 4x2.5 mm²
pre-wired";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"15";"56";"CAB_2";"A";"approved";"351.5";"530.84";"1192.0";"871.0";"-W1T13";"";"LiYCY 2x0.75 mm²";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"16";"57";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M14";"";"NYY-J 4x1.5 mm²";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"17";"57";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D4
-W2M14";"";"NYY-J 4x1.5 mm²
pre-wired";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"18";"58";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M15";"";"NYY-J 4x1.5 mm²";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"19";"58";"CAB_2";"A";"approved";"158.74";"621.55";"1192.0";"871.0";"+D2
-W2M15";"";"NYY-J 4x1.5 mm²
pre-wired";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"20";"59";"CAB_2";"A";"approved";"158.74";"553.52";"1192.0";"871.0";"-W1M16";"";"NYY-J 4x1.5 mm²";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
