"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"49";"con_L_UpRight";"default";"approved";"170.08";"678.24";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"2";"49";"con_L_UpRight";"default";"approved";"192.76";"700.92";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"3";"49";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"4";"56";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"5";"56";"con_L_UpRight";"default";"approved";"170.08";"746.28";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"6";"60";"con_L_UpRight";"default";"approved";"170.08";"678.24";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"7";"60";"con_L_UpRight";"default";"approved";"192.76";"700.92";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"8";"60";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"9";"60";"con_L_UpRight";"default";"approved";"476.22";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"10";"60";"con_L_UpRight";"default";"approved";"544.25";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"11";"60";"con_L_UpRight";"default";"approved";"771.02";"712.26";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"12";"63";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"13";"63";"con_L_UpRight";"default";"approved";"170.08";"746.28";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"14";"69";"con_L_UpRight";"default";"approved";"170.08";"632.89";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"15";"69";"con_L_UpRight";"default";"approved";"192.76";"655.57";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"16";"69";"con_L_UpRight";"default";"approved";"215.43";"678.24";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"17";"78";"con_L_UpRight";"default";"approved";"396.85";"734.94";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"18";"78";"con_L_UpRight";"default";"approved";"464.88";"734.94";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"19";"79";"con_L_UpRight";"default";"approved";"396.85";"734.94";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"20";"79";"con_L_UpRight";"default";"approved";"464.88";"734.94";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
