"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"83";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"3";"84";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"122.65";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"4";"85";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"122.65";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"5";"86";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"122.65";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"6";"88";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"122.65";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"7";"89";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"8";"90";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"9";"91";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"10";"93";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"11";"94";"AZD_LOCK_NC_NO";"default";"approved";"232.44";"156.67";"1192.0";"871.0";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
