"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"124";"BreakPoint_V_3.1_DU";"A";"approved";"137.13";"608.44";"1192.0";"871.0";"1L
00/";"_
/1.";"";"3";"21";"= 414";"+ 400H10";"forming machine C";"illumination & sockets";""
"2";"124";"BreakPoint_V_3.1_DU";"A";"approved";"227.83";"608.44";"1192.0";"871.0";"1L
00/";"_
/1.";"";"3";"21";"= 414";"+ 400H10";"forming machine C";"illumination & sockets";""
"3";"124";"BreakPoint_V_3.1_DU";"A";"approved";"318.54";"608.44";"1192.0";"871.0";"X1
00/";"L
/1.";"";"3";"21";"= 414";"+ 400H10";"forming machine C";"illumination & sockets";""
"4";"125";"BreakPoint_V_3.1_DU";"A";"approved";"80.43";"608.44";"1192.0";"871.0";"A-
00/";"11
/3.";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"5";"125";"BreakPoint_V_3.1_DU";"A";"approved";"159.8";"608.44";"1192.0";"871.0";"A-
00/";"11
/3.";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"6";"125";"BreakPoint_V_3.1_DU";"A";"approved";"239.17";"608.44";"1192.0";"871.0";"A-
00/";"11
/3.";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"7";"125";"BreakPoint_V_3.1_DU";"A";"approved";"318.54";"608.44";"1192.0";"871.0";"-1
00/";"1
/3.";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"8";"125";"BreakPoint_V_3.1_DU";"A";"approved";"851.46";"608.44";"1192.0";"871.0";"+400SPS-X10VI:L3.10+0";"=20.9400.201=400/5d.1";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"9";"125";"BreakPoint_V_3.1_DU";"A";"approved";"930.83";"608.44";"1192.0";"871.0";"+400SPS-X10VI:L3.11+0";"=20.9400.201=400/5d.2";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"10";"125";"BreakPoint_V_3.1_DU";"A";"approved";"1010.2";"608.44";"1192.0";"871.0";"+400SPS-X10VI:L3-
0";"=20.9400.201=400/5d.2";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"11";"125";"BreakPoint_V_3.1_DU";"A";"approved";"1089.57";"608.44";"1192.0";"871.0";"=400+400SPS-PE";"=20.9400.201=400/5d.3";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"12";"125";"BreakPoint_V_3.1_DU";"A";"approved";"431.93";"608.44";"1192.0";"871.0";"+400SPS-X10VQ:L2.120";"=20.9400.201=400/3e.1";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"13";"125";"BreakPoint_V_3.1_DU";"A";"approved";"511.3";"608.44";"1192.0";"871.0";"+400SPS-X10VQ:L2.00";"=20.9400.201=400/3e.2";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"14";"125";"BreakPoint_V_3.1_DU";"A";"approved";"590.67";"608.44";"1192.0";"871.0";"+400SPS-X10VQ:L1.120";"=20.9400.201=400/3e.2";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"15";"125";"BreakPoint_V_3.1_DU";"A";"approved";"670.04";"608.44";"1192.0";"871.0";"+400SPS-X10VQ:L1.0
0";"=20.9400.201=400/3e.3";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"16";"125";"BreakPoint_V_3.1_DU";"A";"approved";"749.41";"608.44";"1192.0";"871.0";"=400+400SPS-PE";"=20.9400.201=400/3e.3";"";"4";"21";"= 414";"+ 400H10";"";"power supply";""
