"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"84";"BusBar_Con_UP";"UP";"approved";"521.57";"349.43";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"2";"84";"BusBar_Con_UP";"UP";"approved";"238.11";"440.13";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"3";"84";"BusBar_Con_UP";"UP";"approved";"238.11";"338.09";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"4";"84";"BusBar_Con_UP";"UP";"approved";"521.57";"451.47";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"5";"85";"BusBar_Con_UP";"UP";"approved";"521.57";"349.43";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"6";"85";"BusBar_Con_UP";"UP";"approved";"238.11";"440.13";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"7";"85";"BusBar_Con_UP";"UP";"approved";"238.11";"338.09";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"8";"85";"BusBar_Con_UP";"UP";"approved";"521.57";"451.47";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"9";"86";"BusBar_Con_UP";"UP";"approved";"238.11";"338.09";"1192.0";"871.0";"PE";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"10";"86";"BusBar_Con_UP";"UP";"approved";"521.57";"349.43";"1192.0";"871.0";"PE";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"11";"87";"BusBar_Con_UP";"UP";"approved";"884.41";"281.39";"1192.0";"871.0";"-PE";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"12";"88";"BusBar_Con_UP";"UP";"approved";"238.11";"451.47";"1192.0";"871.0";"PE";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"13";"88";"BusBar_Con_UP";"UP";"approved";"238.11";"360.76";"1192.0";"871.0";"PE";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"14";"89";"BusBar_Con_UP";"UP";"approved";"805.04";"474.15";"1192.0";"871.0";"-PE";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"15";"116";"BusBar_Con_UP";"UP";"approved";"1145.2";"462.81";"1192.0";"871.0";"-PE";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
