"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"83";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"82";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"84";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"3";"83";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"85";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"4";"87";"X_Simple_DownUp";"A";"approved";"612.28";"270.06";"1192.0";"871.0";"";"86";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"5";"87";"X_Simple_DownUp";"A";"approved";"702.99";"270.06";"1192.0";"871.0";"";"87";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"6";"88";"X_Simple_DownUp";"A";"approved";"873.07";"462.81";"1192.0";"871.0";"=400-XV400A";"21";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"7";"88";"X_Simple_DownUp";"A";"approved";"1009.13";"462.81";"1192.0";"871.0";"=400-XV400A";"41";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"8";"89";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"111";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"9";"90";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"88";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"10";"91";"X_Simple_DownUp";"A";"approved";"873.07";"462.81";"1192.0";"871.0";"=400-XV400A";"89";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"11";"91";"X_Simple_DownUp";"A";"approved";"1009.13";"462.81";"1192.0";"871.0";"=400-XV400A";"90";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"12";"92";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"91";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"13";"94";"X_Simple_DownUp";"A";"approved";"895.75";"417.46";"1192.0";"871.0";"=400-XV400A";"92";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"14";"95";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"93";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"15";"96";"X_Simple_DownUp";"A";"approved";"873.07";"462.81";"1192.0";"871.0";"=400-XV400A";"94";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"16";"96";"X_Simple_DownUp";"A";"approved";"1009.13";"462.81";"1192.0";"871.0";"=400-XV400A";"95";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"17";"97";"X_Simple_DownUp";"A";"approved";"725.67";"462.81";"1192.0";"871.0";"=400-XV400A";"96";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
