"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"X_Simple_UpDown";"A";"approved";"215.43";"462.81";"1192.0";"871.0";"";"70";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"81";"X_Simple_UpDown";"A";"approved";"192.75";"462.81";"1192.0";"871.0";"";"69";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"3";"81";"X_Simple_UpDown";"A";"approved";"170.07";"462.81";"1192.0";"871.0";"=400A-X1";"68";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"4";"81";"X_Simple_UpDown";"A";"approved";"873.07";"270.06";"1192.0";"871.0";"=400-XV400A";"263";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"5";"82";"X_Simple_UpDown";"A";"approved";"215.43";"462.81";"1192.0";"871.0";"";"9";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"6";"82";"X_Simple_UpDown";"A";"approved";"192.75";"462.81";"1192.0";"871.0";"";"8";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"7";"82";"X_Simple_UpDown";"A";"approved";"170.07";"462.81";"1192.0";"871.0";"=400A-X1";"7";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"8";"82";"X_Simple_UpDown";"A";"approved";"873.07";"270.06";"1192.0";"871.0";"=400-XV400A";"264";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"9";"82";"X_Simple_UpDown";"A";"approved";"453.54";"462.81";"1192.0";"871.0";"";"38";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"10";"82";"X_Simple_UpDown";"A";"approved";"408.19";"462.81";"1192.0";"871.0";"";"37";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"11";"83";"X_Simple_UpDown";"A";"approved";"215.43";"462.81";"1192.0";"871.0";"";"73";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"12";"83";"X_Simple_UpDown";"A";"approved";"192.75";"462.81";"1192.0";"871.0";"";"72";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"13";"83";"X_Simple_UpDown";"A";"approved";"170.07";"462.81";"1192.0";"871.0";"=400A-X1";"71";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"14";"83";"X_Simple_UpDown";"A";"approved";"873.07";"270.06";"1192.0";"871.0";"=400-XV400A";"265";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"15";"84";"X_Simple_UpDown";"A";"approved";"215.43";"281.39";"1192.0";"871.0";"";"43";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"16";"84";"X_Simple_UpDown";"A";"approved";"192.75";"281.39";"1192.0";"871.0";"";"42";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"17";"84";"X_Simple_UpDown";"A";"approved";"170.07";"281.39";"1192.0";"871.0";"";"41";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"18";"84";"X_Simple_UpDown";"A";"approved";"487.56";"281.39";"1192.0";"871.0";"";"57";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"19";"84";"X_Simple_UpDown";"A";"approved";"442.2";"281.39";"1192.0";"871.0";"";"56";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"20";"84";"X_Simple_UpDown";"A";"approved";"215.43";"462.81";"1192.0";"871.0";"";"43";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"21";"84";"X_Simple_UpDown";"A";"approved";"192.75";"462.81";"1192.0";"871.0";"";"42";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"22";"84";"X_Simple_UpDown";"A";"approved";"170.07";"462.81";"1192.0";"871.0";"=421 +421KK1.1 -XKK1.1";"41";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"23";"84";"X_Simple_UpDown";"A";"approved";"487.56";"462.81";"1192.0";"871.0";"";"57sp";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"24";"84";"X_Simple_UpDown";"A";"approved";"442.2";"462.81";"1192.0";"871.0";"";"56";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"25";"84";"X_Simple_UpDown";"A";"approved";"215.43";"360.76";"1192.0";"871.0";"";"43";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"26";"84";"X_Simple_UpDown";"A";"approved";"192.75";"360.76";"1192.0";"871.0";"";"42";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"27";"84";"X_Simple_UpDown";"A";"approved";"170.07";"360.76";"1192.0";"871.0";"=421 +421KK1 -XKK1";"41";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"28";"84";"X_Simple_UpDown";"A";"approved";"487.56";"360.76";"1192.0";"871.0";"";"57sp";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"29";"84";"X_Simple_UpDown";"A";"approved";"442.2";"360.76";"1192.0";"871.0";"";"56";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"30";"84";"X_Simple_UpDown";"A";"approved";"521.57";"281.39";"1192.0";"871.0";"";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"31";"84";"X_Simple_UpDown";"A";"approved";"498.89";"462.81";"1192.0";"871.0";"";"spare";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"32";"84";"X_Simple_UpDown";"A";"approved";"498.89";"360.76";"1192.0";"871.0";"";"spare";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"33";"85";"X_Simple_UpDown";"A";"approved";"215.43";"281.39";"1192.0";"871.0";"";"46";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"34";"85";"X_Simple_UpDown";"A";"approved";"192.75";"281.39";"1192.0";"871.0";"";"45";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
