"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"97";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"2";"98";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"80";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M24"
"3";"99";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"81";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M25"
"4";"100";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"5";"101";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"6";"102";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"7";"103";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"85";"29";"= 427";"+ 400A";"press";"spare";""
"8";"104";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"86";"29";"= 427";"+ 400A";"press";"spare";""
"9";"105";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"87";"29";"= 427";"+ 400A";"press";"spare";""
"10";"106";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"88";"29";"= 427";"+ 400A";"press";"spare";""
"11";"107";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"12";"108";"_LOCK_1";"default";"approved";"714.33";"29.11";"1192.0";"871.0";"88b";"29";"= 427";"+ 400A";"press";"spare";""
