"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"92";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"2";"93";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"3";"94";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"4";"95";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"5";"96";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"6";"97";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"7";"98";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"80";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M24"
"8";"99";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"81";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M25"
"9";"100";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"10";"101";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"11";"102";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"12";"103";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"85";"29";"= 427";"+ 400A";"press";"spare";""
"13";"104";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"86";"29";"= 427";"+ 400A";"press";"spare";""
"14";"105";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"87";"29";"= 427";"+ 400A";"press";"spare";""
"15";"106";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"88";"29";"= 427";"+ 400A";"press";"spare";""
"16";"107";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"17";"108";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"18";"109";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"19";"110";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"20";"111";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"21";"112";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"22";"113";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"23";"114";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"24";"115";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"25";"116";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"26";"117";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"100";"29";"= 427";"+ 400A";"press";"central hydraulic band control";"427M?"
"27";"118";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"28";"119";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"29";"120";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"30";"121";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"98";"4";"= 442";"+ 400A";"trim saw";"left hand side at rear
spare";"442M4"
"31";"122";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"32";"123";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"33";"124";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3";"21";"= 414";"+ 400H10";"forming machine C";"illumination & sockets";""
"34";"125";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"4";"21";"= 414";"+ 400H10";"";"power supply";""
"35";"126";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"98";"21";"= 414";"+ 400H10";"forming machine C";"transport belt to matformer C";"414M01"
"36";"127";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"99";"21";"= 414";"+ 400H10";"forming machine C";"transport belt ??";"414M02"
"37";"128";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"100";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"38";"129";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"39";"130";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"40";"131";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"41";"132";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"42";"133";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"43";"134";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"109";"21";"= 414";"+ 400H10";"forming machine C";"dosing belt cleaning brush";"414M10"
"44";"135";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"110";"21";"= 414";"+ 400H10";"forming machine C";"rotary combs";"414M11"
"45";"136";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"46";"137";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"112";"21";"= 414";"+ 400H10";"forming machine C";"distribution belt left";"414M15"
"47";"138";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"113";"21";"= 414";"+ 400H10";"forming machine C";"distribution belt right";"414M16"
"48";"139";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"49";"140";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"50";"141";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"116";"21";"= 414";"+ 400H10";"forming machine C";"fast disks rolls";"414M20"
"51";"142";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"52";"143";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"53";"144";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"54";"145";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"763";"2";"= 763";"+ ???";"";"band spraying infeed";""
"55";"146";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"56";"147";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"1";"18";"= RES";"+ 400A";"";"reserve terminals +400A";""
"57";"148";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"3";"18";"= RES";"+ 400A";"";"reserve terminals +400A";""
"58";"149";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"4";"18";"= RES";"+ 400A";"";"reserve terminals +400A";""
"59";"150";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"5";"18";"= RES";"+ 400H11";"";"reserve terminals +400H11";""
"60";"151";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"7";"18";"= RES";"+ A2";"";"reserve terminals +A2";""
"61";"152";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"8";"18";"= RES";"+ A3";"";"reserve terminals +A3";""
"62";"153";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"11";"18";"= RES";"+ B2";"";"reserve terminals +B2";""
"63";"154";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"13";"18";"= RES";"+ B4";"";"reserve terminals +B4";""
"64";"155";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"15";"18";"= RES";"+ C2";"";"reserve terminals +C2";""
"65";"156";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"16";"18";"= RES";"+ C3";"";"reserve terminals +C3";""
"66";"157";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"17";"18";"= RES";"+ C4";"";"reserve terminals +C4";""
"67";"158";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"18";"18";"= RES";"+ C5";"";"reserve terminals +C5";""
"68";"159";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"19";"18";"= RES";"+ D1";"";"reserve terminals +D1";""
"69";"160";"_LOCK_SHTAMP";"default";"approved";"895.75";"825.65";"1192.0";"871.0";"20";"18";"= RES";"+ D2";"";"reserve terminals +D2";""
