"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"82";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"3";"82";"con_L_LeftDown";"default";"approved";"408.19";"236.04";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"4";"82";"con_L_LeftDown";"default";"approved";"453.54";"258.72";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"5";"82";"con_L_LeftDown";"default";"approved";"725.67";"581.87";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"6";"83";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"7";"84";"con_L_LeftDown";"default";"approved";"442.2";"77.3";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"8";"84";"con_L_LeftDown";"default";"approved";"487.56";"99.98";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"9";"85";"con_L_LeftDown";"default";"approved";"442.2";"77.3";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"10";"85";"con_L_LeftDown";"default";"approved";"487.56";"99.98";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"11";"86";"con_L_LeftDown";"default";"approved";"442.2";"77.3";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"12";"86";"con_L_LeftDown";"default";"approved";"487.56";"99.98";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
