"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"81";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"2";"82";"con_L_LeftUp";"default";"approved";"453.54";"734.94";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"3";"82";"con_L_LeftUp";"default";"approved";"408.19";"723.6";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"4";"82";"con_L_LeftUp";"default";"approved";"487.56";"689.58";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"5";"82";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"6";"83";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"7";"84";"con_L_LeftUp";"default";"approved";"487.56";"734.94";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"8";"84";"con_L_LeftUp";"default";"approved";"442.2";"723.6";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"9";"84";"con_L_LeftUp";"default";"approved";"521.57";"700.92";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"10";"84";"con_L_LeftUp";"default";"approved";"521.57";"428.8";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"11";"84";"con_L_LeftUp";"default";"approved";"521.57";"326.75";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"12";"85";"con_L_LeftUp";"default";"approved";"521.57";"700.92";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"13";"85";"con_L_LeftUp";"default";"approved";"521.57";"428.8";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"14";"85";"con_L_LeftUp";"default";"approved";"521.57";"326.75";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"15";"85";"con_L_LeftUp";"default";"approved";"487.56";"734.94";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"16";"85";"con_L_LeftUp";"default";"approved";"442.2";"723.6";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"17";"86";"con_L_LeftUp";"default";"approved";"487.56";"734.94";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"18";"86";"con_L_LeftUp";"default";"approved";"442.2";"723.6";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"19";"86";"con_L_LeftUp";"default";"approved";"521.57";"700.92";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"20";"86";"con_L_LeftUp";"default";"approved";"521.57";"326.75";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
