"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"88";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"2";"91";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"3";"96";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"4";"102";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"5";"103";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"85";"29";"= 427";"+ 400A";"press";"spare";""
"6";"104";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"86";"29";"= 427";"+ 400A";"press";"spare";""
"7";"105";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"87";"29";"= 427";"+ 400A";"press";"spare";""
"8";"106";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"88";"29";"= 427";"+ 400A";"press";"spare";""
"9";"107";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"10";"108";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"11";"109";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"12";"110";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"13";"111";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"14";"112";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"15";"113";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"16";"114";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"17";"115";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"18";"116";"con_T_DOWN";"default";"approved";"895.75";"77.3";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"19";"122";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"20";"123";"con_T_DOWN";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"21";"126";"con_T_DOWN";"default";"approved";"782.36";"360.76";"1192.0";"871.0";"98";"21";"= 414";"+ 400H10";"forming machine C";"transport belt to matformer C";"414M01"
"22";"130";"con_T_DOWN";"default";"approved";"294.8";"406.12";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"23";"130";"con_T_DOWN";"default";"approved";"600.94";"77.3";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"24";"130";"con_T_DOWN";"default";"approved";"646.3";"99.98";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"25";"132";"con_T_DOWN";"default";"approved";"294.8";"406.12";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"26";"132";"con_T_DOWN";"default";"approved";"600.94";"77.3";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"27";"132";"con_T_DOWN";"default";"approved";"646.3";"99.98";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"28";"140";"con_T_DOWN";"default";"approved";"861.73";"77.3";"1192.0";"871.0";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"29";"146";"con_T_DOWN";"default";"approved";"430.87";"88.64";"1192.0";"871.0";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"30";"146";"con_T_DOWN";"default";"approved";"476.22";"111.31";"1192.0";"871.0";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
