"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"109";"con_T_LEFT";"default";"approved";"1031.81";"179.35";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"2";"109";"con_T_LEFT";"default";"approved";"351.5";"270.06";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"3";"109";"con_T_LEFT";"default";"approved";"328.82";"281.39";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"4";"109";"con_T_LEFT";"default";"approved";"306.14";"292.73";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"5";"110";"con_T_LEFT";"default";"approved";"1031.81";"179.35";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"6";"110";"con_T_LEFT";"default";"approved";"351.5";"270.06";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"7";"110";"con_T_LEFT";"default";"approved";"328.82";"281.39";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"8";"110";"con_T_LEFT";"default";"approved";"306.14";"292.73";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"9";"111";"con_T_LEFT";"default";"approved";"1031.81";"179.35";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"10";"111";"con_T_LEFT";"default";"approved";"351.5";"270.06";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"11";"111";"con_T_LEFT";"default";"approved";"328.82";"281.39";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"12";"111";"con_T_LEFT";"default";"approved";"306.14";"292.73";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
