"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"87";"con_Wire_End";"default";"approved";"793.7";"270.06";"1192.0";"871.0";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"2";"88";"con_Wire_End";"default";"approved";"340.16";"451.47";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"3";"88";"con_Wire_End";"default";"approved";"362.83";"451.47";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"4";"88";"con_Wire_End";"default";"approved";"340.16";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"5";"88";"con_Wire_End";"default";"approved";"362.83";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"6";"88";"con_Wire_End";"default";"approved";"385.51";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"7";"88";"con_Wire_End";"default";"approved";"408.19";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"8";"88";"con_Wire_End";"default";"approved";"430.87";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"9";"88";"con_Wire_End";"default";"approved";"453.54";"360.76";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"10";"88";"con_Wire_End";"default";"approved";"1122.52";"462.81";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"11";"113";"con_Wire_End";"default";"approved";"918.43";"462.81";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"12";"144";"con_Wire_End";"default";"approved";"816.38";"485.49";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"13";"144";"con_Wire_End";"default";"approved";"895.75";"485.49";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
