"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"88";"con_Wire_End_2";"default";"approved";"362.83";"406.12";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"2";"88";"con_Wire_End_2";"default";"approved";"340.16";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"3";"88";"con_Wire_End_2";"default";"approved";"362.83";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"4";"88";"con_Wire_End_2";"default";"approved";"340.16";"406.12";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"5";"88";"con_Wire_End_2";"default";"approved";"385.51";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"6";"88";"con_Wire_End_2";"default";"approved";"408.19";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"7";"88";"con_Wire_End_2";"default";"approved";"430.87";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"8";"88";"con_Wire_End_2";"default";"approved";"453.54";"315.41";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"9";"144";"con_Wire_End_2";"default";"approved";"952.44";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"10";"144";"con_Wire_End_2";"default";"approved";"1043.15";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"11";"144";"con_Wire_End_2";"default";"approved";"907.09";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"12";"144";"con_Wire_End_2";"default";"approved";"997.8";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"13";"144";"con_Wire_End_2";"default";"approved";"1099.84";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
"14";"144";"con_Wire_End_2";"default";"approved";"1145.2";"236.04";"1192.0";"871.0";"119";"21";"= 414";"+ 400H10";"forming machine C";"transport belt cleaning brush";"414M26"
