"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"82";"contact_signal_CO_1";"C";"approved";"702.99";"519.5";"1192.0";"871.0";"-F1.1";"96";"95";"98";"";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"2";"87";"contact_signal_CO_1";"C";"approved";"589.61";"360.76";"1192.0";"871.0";"-F3";"96";"95";"98";"/71.3";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"3";"87";"contact_signal_CO_1";"C";"approved";"589.61";"542.18";"1192.0";"871.0";"-F5";"96";"95";"98";"/71b.3";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"4";"94";"contact_signal_CO_1";"C";"approved";"873.07";"508.17";"1192.0";"871.0";"-F4";"96";"95";"98";"/76.3";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"5";"109";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F301";"96";"95";"98";"/89.4";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"6";"110";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F302";"96";"95";"98";"/90.4";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"7";"111";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F303";"96";"95";"98";"/91.4";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"8";"112";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F304";"96";"95";"98";"/92.4";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"9";"113";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F305";"96";"95";"98";"/93.4";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"10";"114";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F306";"96";"95";"98";"/94.4";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"11";"115";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F307";"96";"95";"98";"/94a.4";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"12";"116";"contact_signal_CO_1";"C";"approved";"657.64";"576.2";"1192.0";"871.0";"-F308";"96";"95";"98";"/94b.4";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"13";"122";"contact_signal_CO_1";"C";"approved";"805.04";"576.2";"1192.0";"871.0";"-F1";"96";"95";"98";"/99.4";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"14";"123";"contact_signal_CO_1";"C";"approved";"782.36";"576.2";"1192.0";"871.0";"-F1";"96";"95";"98";"/100.4";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"15";"128";"contact_signal_CO_1";"C";"approved";"918.43";"598.87";"1192.0";"871.0";"-F3";"96";"95";"98";"/100.4";"100";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"16";"130";"contact_signal_CO_1";"C";"approved";"1065.83";"485.49";"1192.0";"871.0";"-F6";"96";"95";"98";"/103.6";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"17";"132";"contact_signal_CO_1";"C";"approved";"1065.83";"485.49";"1192.0";"871.0";"-F8";"96";"95";"98";"/106.6";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"18";"136";"contact_signal_CO_1";"C";"approved";"725.67";"519.5";"1192.0";"871.0";"-F13";"96";"95";"98";"/111.2";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"19";"140";"contact_signal_CO_1";"C";"approved";"181.42";"564.86";"1192.0";"871.0";"-F17.1";"96";"95";"98";"/114.6";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"20";"141";"contact_signal_CO_1";"C";"approved";"725.67";"519.5";"1192.0";"871.0";"-F20";"96";"95";"98";"/116.2";"116";"21";"= 414";"+ 400H10";"forming machine C";"fast disks rolls";"414M20"
"21";"146";"contact_signal_CO_1";"C";"approved";"408.19";"338.09";"1192.0";"871.0";"-RF1";"14";"11";"12";"";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"22";"146";"contact_signal_CO_1";"C";"approved";"702.99";"338.09";"1192.0";"871.0";"-RF2";"14";"11";"12";"";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
