"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"88";"contact_signal_NC_1";"A";"approved";"1009.14";"576.19";"1192.0";"871.0";"-K13.1M";"22";"21";"/71d.7";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"2";"88";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K13.2M";"22";"21";"/71d.8";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"3";"91";"contact_signal_NC_1";"A";"approved";"1009.14";"576.19";"1192.0";"871.0";"-K1.31M";"22";"21";"/74.7";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"4";"91";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K1.32M";"22";"21";"/74.8";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"5";"92";"contact_signal_NC_1";"A";"approved";"725.68";"576.19";"1192.0";"871.0";"-F3.2";"95";"96";"";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"6";"96";"contact_signal_NC_1";"A";"approved";"1009.14";"576.19";"1192.0";"871.0";"-K8.21M";"22";"21";"/78.7";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"7";"96";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K8.22M";"22";"21";"/78.8";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"8";"102";"contact_signal_NC_1";"A";"approved";"1009.14";"576.19";"1192.0";"871.0";"-K30.1M";"22";"21";"/84.7";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"9";"102";"contact_signal_NC_1";"A";"approved";"873.08";"576.19";"1192.0";"871.0";"-K30.2M";"22";"21";"/84.8";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"10";"103";"contact_signal_NC_1";"A";"approved";"1009.14";"576.19";"1192.0";"871.0";"-K82.1M";"22";"21";"/85.7";"85";"29";"= 427";"+ 400A";"press";"spare";""
