"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"129";"pin_down";"A";"approved";"102.05";"587.54";"1192.0";"871.0";"AL0";"AL0";"0 .8";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"2";"129";"pin_down";"A";"approved";"124.72";"587.54";"1192.0";"871.0";"AL1";"AL1";"Betrieb";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"3";"129";"pin_down";"A";"approved";"147.4";"587.54";"1192.0";"871.0";"AL2";"AL2";"Störung";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"4";"129";"pin_down";"A";"approved";"634.96";"678.24";"1192.0";"871.0";"";"";"";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"5";"129";"pin_down";"A";"approved";"646.3";"678.24";"1192.0";"871.0";"";"";"";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"6";"130";"pin_down";"A";"approved";"170.08";"394.78";"1192.0";"871.0";"X1:U";"X1:U";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"7";"130";"pin_down";"A";"approved";"192.76";"394.78";"1192.0";"871.0";"V";"V";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"8";"130";"pin_down";"A";"approved";"215.43";"394.78";"1192.0";"871.0";"W";"W";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"9";"130";"pin_down";"A";"approved";"238.11";"394.78";"1192.0";"871.0";"PE";"PE";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"10";"130";"pin_down";"A";"approved";"340.16";"394.78";"1192.0";"871.0";"+";"+";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"11";"130";"pin_down";"A";"approved";"362.83";"394.78";"1192.0";"871.0";"M";"M";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"12";"130";"pin_down";"A";"approved";"385.51";"394.78";"1192.0";"871.0";"-";"-";"";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"13";"131";"pin_down";"A";"approved";"102.05";"587.54";"1192.0";"871.0";"AL0";"AL0";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"14";"131";"pin_down";"A";"approved";"124.72";"587.54";"1192.0";"871.0";"AL1";"AL1";"Betrieb";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"15";"131";"pin_down";"A";"approved";"147.4";"587.54";"1192.0";"871.0";"AL2";"AL2";"Störung";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"16";"131";"pin_down";"A";"approved";"634.96";"678.24";"1192.0";"871.0";"";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"17";"131";"pin_down";"A";"approved";"646.3";"678.24";"1192.0";"871.0";"";"";"";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"18";"132";"pin_down";"A";"approved";"170.08";"394.78";"1192.0";"871.0";"X1:U";"X1:U";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"19";"132";"pin_down";"A";"approved";"192.76";"394.78";"1192.0";"871.0";"V";"V";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"20";"132";"pin_down";"A";"approved";"215.43";"394.78";"1192.0";"871.0";"W";"W";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"21";"132";"pin_down";"A";"approved";"238.11";"394.78";"1192.0";"871.0";"PE";"PE";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"22";"132";"pin_down";"A";"approved";"340.16";"394.78";"1192.0";"871.0";"+";"+";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"23";"132";"pin_down";"A";"approved";"362.83";"394.78";"1192.0";"871.0";"M";"M";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"24";"132";"pin_down";"A";"approved";"385.51";"394.78";"1192.0";"871.0";"-";"-";"";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"25";"133";"pin_down";"A";"approved";"102.05";"587.54";"1192.0";"871.0";"AL0";"AL0";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"26";"133";"pin_down";"A";"approved";"124.72";"587.54";"1192.0";"871.0";"AL1";"AL1";"Betrieb";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"27";"133";"pin_down";"A";"approved";"147.4";"587.54";"1192.0";"871.0";"AL2";"AL2";"Störung";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"28";"133";"pin_down";"A";"approved";"634.96";"678.24";"1192.0";"871.0";"";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"29";"133";"pin_down";"A";"approved";"646.3";"678.24";"1192.0";"871.0";"";"";"";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"30";"142";"pin_down";"A";"approved";"351.5";"406.12";"1192.0";"871.0";"X?:U";"X?:U";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"31";"142";"pin_down";"A";"approved";"374.17";"406.12";"1192.0";"871.0";"V";"V";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"32";"142";"pin_down";"A";"approved";"396.85";"406.12";"1192.0";"871.0";"W";"W";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"33";"142";"pin_down";"A";"approved";"419.53";"406.12";"1192.0";"871.0";"PE";"PE";"";"117";"21";"= 414";"+ 400H10";"forming machine C";"slow disks rolls";"414M21"
"34";"143";"pin_down";"A";"approved";"351.5";"406.12";"1192.0";"871.0";"X2:U";"X2:U";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"35";"143";"pin_down";"A";"approved";"374.17";"406.12";"1192.0";"871.0";"V";"V";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"36";"143";"pin_down";"A";"approved";"396.85";"406.12";"1192.0";"871.0";"W";"W";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"37";"143";"pin_down";"A";"approved";"419.53";"406.12";"1192.0";"871.0";"PE";"PE";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"38";"143";"pin_down";"A";"approved";"487.56";"406.12";"1192.0";"871.0";"+R";"+R";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
"39";"143";"pin_down";"A";"approved";"510.24";"406.12";"1192.0";"871.0";"-R";"-R";"";"118";"21";"= 414";"+ 400H10";"forming machine C";"transport belt";"422M11"
