"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"AZD_LOCK_NC_NO";"default";"approved";"185.57";"245.86";"0.0";"0.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"11";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"3";"12";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"4";"13";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"5";"14";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"6";"15";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"7";"16";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"8";"17";"AZD_LOCK_NC_NO";"default";"approved";"221.1";"168.01";"1192.0";"871.0";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"9";"77";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"10";"78";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"11";"79";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"12";"80";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9"
"13";"81";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"14";"83";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"156.67";"1192.0";"871.0";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"15";"84";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"122.65";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"16";"85";"AZD_LOCK_NC_NO";"default";"pending";"232.44";"122.65";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
