"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"6";"BreakPoint_H_1";"A";"approved";"79.37";"65.96";"1192.0";"871.0";"1.8/1L1";"1.8/1L1";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"6";"BreakPoint_H_1";"A";"approved";"79.37";"77.3";"1192.0";"871.0";"1.8/1L2";"1.8/1L2";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"6";"BreakPoint_H_1";"A";"approved";"79.37";"88.64";"1192.0";"871.0";"1.8/1L3";"1.8/1L3";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"7";"BreakPoint_H_1";"A";"approved";"79.37";"65.96";"1192.0";"871.0";"1.8/1L1";"1.8/1L1";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"7";"BreakPoint_H_1";"A";"approved";"79.37";"77.3";"1192.0";"871.0";"1.8/1L2";"1.8/1L2";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"7";"BreakPoint_H_1";"A";"approved";"79.37";"88.64";"1192.0";"871.0";"1.8/1L3";"1.8/1L3";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"11";"BreakPoint_H_1";"A";"approved";"90.71";"65.96";"1192.0";"871.0";"=400/2.2/1L1.12";"=400/2.2/1L1.12";"";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"8";"11";"BreakPoint_H_1";"A";"approved";"90.71";"77.3";"1192.0";"871.0";"=400/2.2/1L2.12";"=400/2.2/1L2.12";"";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"9";"11";"BreakPoint_H_1";"A";"approved";"90.71";"88.64";"1192.0";"871.0";"=400/2.2/1L3.12";"=400/2.2/1L3.12";"";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"10";"12";"BreakPoint_H_1";"A";"approved";"90.71";"65.96";"1192.0";"871.0";"=400/2.2/1L1.12";"=400/2.2/1L1.12";"";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
