"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"5";"BusBar_Con_UP";"UP";"approved";"555.59";"349.43";"1192.0";"871.0";"-PE";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";""
"2";"22";"BusBar_Con_UP";"UP";"approved";"238.11";"610.21";"1192.0";"871.0";"0A PE";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"3";"22";"BusBar_Con_UP";"UP";"approved";"430.87";"610.21";"1192.0";"871.0";"A PE";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"4";"23";"BusBar_Con_UP";"UP";"approved";"238.11";"610.21";"1192.0";"871.0";"1A PE";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"5";"24";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"2A PE";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"6";"26";"BusBar_Con_UP";"UP";"pending";"805.04";"485.49";"1192.0";"871.0";"PE";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"7";"27";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"6A PE";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
"8";"31";"BusBar_Con_UP";"UP";"pending";"816.38";"474.15";"1192.0";"871.0";"-PE";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"9";"40";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"0A PE";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"10";"40";"BusBar_Con_UP";"UP";"pending";"430.87";"610.21";"1192.0";"871.0";"A PE";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"11";"41";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"1B PE";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"12";"42";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"2B PE";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"13";"45";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"6B PE";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
"14";"46";"BusBar_Con_UP";"UP";"pending";"805.04";"474.15";"1192.0";"871.0";"-PE";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"15";"63";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"0D PE";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"16";"63";"BusBar_Con_UP";"UP";"pending";"430.87";"610.21";"1192.0";"871.0";"D PE";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"17";"64";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"1D PE";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"18";"65";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"2D PE";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"19";"68";"BusBar_Con_UP";"UP";"pending";"238.11";"610.21";"1192.0";"871.0";"6D PE";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"20";"84";"BusBar_Con_UP";"UP";"pending";"521.57";"349.43";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"21";"84";"BusBar_Con_UP";"UP";"pending";"238.11";"440.13";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"22";"84";"BusBar_Con_UP";"UP";"pending";"238.11";"338.09";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"23";"84";"BusBar_Con_UP";"UP";"pending";"521.57";"451.47";"1192.0";"871.0";"PE";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"24";"85";"BusBar_Con_UP";"UP";"pending";"521.57";"349.43";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"25";"85";"BusBar_Con_UP";"UP";"pending";"238.11";"440.13";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"26";"85";"BusBar_Con_UP";"UP";"pending";"238.11";"338.09";"1192.0";"871.0";"PE";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
