"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"FuseDiscon_1";"A";"approved";"475.85";"156.67";"1192.0";"871.0";"-F1";"1";"2";"3";"4";"5";"6";"NH00 b=50A";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"2";"3";"FuseDiscon_1";"A";"approved";"475.85";"496.83";"1192.0";"871.0";"-F2";"1";"2";"3";"4";"5";"6";"NH00 b=80A";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"3";"4";"FuseDiscon_1";"A";"approved";"498.53";"190.68";"1192.0";"871.0";"-F11";"1";"2";"3";"4";"5";"6";"NH00 b=10A";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"FuseDiscon_1";"A";"approved";"736.64";"190.68";"1192.0";"871.0";"-F12";"1";"2";"3";"4";"5";"6";"NH00 b=160A";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"FuseDiscon_1";"A";"approved";"861.36";"190.68";"1192.0";"871.0";"-F13";"1";"2";"3";"4";"5";"6";"NH00 b=63A";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"FuseDiscon_1";"A";"approved";"986.09";"190.68";"1192.0";"871.0";"-F14";"1";"2";"3";"4";"5";"6";"NH00 b=35A";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"6";"FuseDiscon_1";"A";"approved";"147.03";"156.67";"1192.0";"871.0";"-1F11";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"6";"FuseDiscon_1";"A";"approved";"271.76";"156.67";"1192.0";"871.0";"-1F12";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"6";"FuseDiscon_1";"A";"approved";"396.48";"156.67";"1192.0";"871.0";"-1F13";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"6";"FuseDiscon_1";"A";"approved";"521.21";"156.67";"1192.0";"871.0";"-1F14";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"6";"FuseDiscon_1";"A";"approved";"645.93";"156.67";"1192.0";"871.0";"-1F15";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"12";"6";"FuseDiscon_1";"A";"approved";"770.66";"156.67";"1192.0";"871.0";"-1F16";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"13";"6";"FuseDiscon_1";"A";"approved";"895.38";"156.67";"1192.0";"871.0";"-1F17";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"6";"FuseDiscon_1";"A";"approved";"1020.1";"156.67";"1192.0";"871.0";"-1F18";"1";"2";"3";"4";"5";"6";"NH00 50A";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"7";"FuseDiscon_1";"A";"approved";"147.03";"156.67";"1192.0";"871.0";"-1F19";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"7";"FuseDiscon_1";"A";"approved";"271.76";"156.67";"1192.0";"871.0";"-1F20";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"7";"FuseDiscon_1";"A";"approved";"396.48";"156.67";"1192.0";"871.0";"-1F21";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"18";"7";"FuseDiscon_1";"A";"approved";"521.21";"156.67";"1192.0";"871.0";"-1F22";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"19";"7";"FuseDiscon_1";"A";"approved";"645.93";"156.67";"1192.0";"871.0";"-1F23";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"20";"7";"FuseDiscon_1";"A";"approved";"770.66";"156.67";"1192.0";"871.0";"-1F24";"1";"2";"3";"4";"5";"6";"NH00 100A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"21";"7";"FuseDiscon_1";"A";"approved";"895.38";"156.67";"1192.0";"871.0";"-F11.1";"1";"2";"3";"4";"5";"6";"NH00 50A";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"22";"82";"FuseDiscon_1";"A";"approved";"169.71";"156.67";"1192.0";"871.0";"-F1";"1";"2";"3";"4";"5";"6";"NH00 80A";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"23";"92";"FuseDiscon_1";"A";"pending";"169.71";"133.99";"1192.0";"871.0";"-F3.1";"1";"2";"3";"4";"5";"6";"160A NH00";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
