"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"X_Simple_UpDown";"A";"approved";"136.06";"610.21";"1192.0";"871.0";"-X?1";"L1";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"2";"3";"X_Simple_UpDown";"A";"approved";"158.74";"610.21";"1192.0";"871.0";"";"L2";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"3";"3";"X_Simple_UpDown";"A";"approved";"181.41";"610.21";"1192.0";"871.0";"";"L3";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"4";"3";"X_Simple_UpDown";"A";"approved";"476.22";"610.21";"1192.0";"871.0";"-X?2";"-";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"5";"3";"X_Simple_UpDown";"A";"approved";"521.57";"610.21";"1192.0";"871.0";"";"+";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"6";"4";"X_Simple_UpDown";"A";"approved";"317.48";"406.12";"1192.0";"871.0";"=400-XV400A";"297";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"X_Simple_UpDown";"A";"approved";"737.0";"360.76";"1192.0";"871.0";"=400A-X1";"1";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"4";"X_Simple_UpDown";"A";"approved";"759.68";"360.76";"1192.0";"871.0";"";"2";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"4";"X_Simple_UpDown";"A";"approved";"782.36";"360.76";"1192.0";"871.0";"";"3";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"4";"X_Simple_UpDown";"A";"approved";"986.45";"360.76";"1192.0";"871.0";"";"16";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"4";"X_Simple_UpDown";"A";"approved";"1009.13";"360.76";"1192.0";"871.0";"";"17";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"12";"4";"X_Simple_UpDown";"A";"approved";"1031.81";"360.76";"1192.0";"871.0";"";"18";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"13";"4";"X_Simple_UpDown";"A";"approved";"861.73";"360.76";"1192.0";"871.0";"";"10";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"4";"X_Simple_UpDown";"A";"approved";"884.41";"360.76";"1192.0";"871.0";"";"11";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"4";"X_Simple_UpDown";"A";"approved";"907.08";"360.76";"1192.0";"871.0";"";"12";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"4";"X_Simple_UpDown";"A";"approved";"1020.47";"587.54";"1192.0";"871.0";"";"L10";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"5";"X_Simple_UpDown";"A";"approved";"374.17";"451.47";"1192.0";"871.0";"";"352";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";""
