"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"con_L_DownRight";"default";"approved";"136.06";"77.3";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"2";"3";"con_L_DownRight";"default";"approved";"158.74";"88.64";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"3";"3";"con_L_DownRight";"default";"approved";"181.42";"99.98";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"4";"4";"con_L_DownRight";"default";"approved";"181.42";"168.01";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_L_DownRight";"default";"approved";"226.77";"111.31";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_L_DownRight";"default";"approved";"374.17";"133.99";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"con_L_DownRight";"default";"approved";"385.51";"145.33";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"4";"con_L_DownRight";"default";"approved";"396.85";"156.67";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"4";"con_L_DownRight";"default";"approved";"646.3";"179.35";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"4";"con_L_DownRight";"default";"approved";"442.2";"508.17";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"8";"con_L_DownRight";"default";"approved";"136.06";"65.96";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"12";"8";"con_L_DownRight";"default";"approved";"204.09";"88.64";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"13";"8";"con_L_DownRight";"default";"approved";"272.13";"111.31";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"14";"8";"con_L_DownRight";"default";"approved";"340.16";"133.99";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
