"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"3";"con_L_LeftDown";"default";"approved";"476.22";"77.3";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"2";"3";"con_L_LeftDown";"default";"approved";"498.9";"88.64";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"3";"3";"con_L_LeftDown";"default";"approved";"521.57";"99.98";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"4";"4";"con_L_LeftDown";"default";"approved";"226.77";"168.01";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_L_LeftDown";"default";"approved";"340.16";"111.31";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_L_LeftDown";"default";"approved";"668.98";"179.35";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"8";"con_L_LeftDown";"default";"approved";"158.74";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"8";"8";"con_L_LeftDown";"default";"approved";"226.77";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"9";"8";"con_L_LeftDown";"default";"approved";"294.8";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"10";"8";"con_L_LeftDown";"default";"approved";"362.83";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"11";"8";"con_L_LeftDown";"default";"approved";"430.87";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"12";"8";"con_L_LeftDown";"default";"approved";"498.9";"542.18";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"13";"9";"con_L_LeftDown";"default";"approved";"158.74";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"9";"con_L_LeftDown";"default";"approved";"226.77";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"9";"con_L_LeftDown";"default";"approved";"294.8";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"9";"con_L_LeftDown";"default";"approved";"362.83";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"9";"con_L_LeftDown";"default";"approved";"430.87";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"18";"9";"con_L_LeftDown";"default";"approved";"498.9";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"19";"9";"con_L_LeftDown";"default";"approved";"566.93";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"20";"9";"con_L_LeftDown";"default";"approved";"634.96";"542.18";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"21";"10";"con_L_LeftDown";"default";"approved";"158.74";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"22";"10";"con_L_LeftDown";"default";"approved";"226.77";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"23";"10";"con_L_LeftDown";"default";"approved";"294.8";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"24";"10";"con_L_LeftDown";"default";"approved";"362.83";"542.18";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"25";"11";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"26";"12";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"27";"13";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"28";"14";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"29";"15";"con_L_LeftDown";"default";"approved";"873.07";"77.3";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"30";"15";"con_L_LeftDown";"default";"approved";"362.83";"247.38";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"31";"15";"con_L_LeftDown";"default";"approved";"408.19";"270.06";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
