"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_L_UpRight";"default";"approved";"181.42";"122.65";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_L_UpRight";"default";"approved";"226.77";"179.35";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_L_UpRight";"default";"approved";"521.57";"326.75";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_L_UpRight";"default";"approved";"476.22";"791.63";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"15";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"6";"15";"con_L_UpRight";"default";"approved";"170.08";"746.28";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"7";"19";"con_L_UpRight";"default";"approved";"170.08";"678.24";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"8";"19";"con_L_UpRight";"default";"approved";"192.76";"700.92";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"9";"19";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"10";"19";"con_L_UpRight";"default";"approved";"476.22";"723.6";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"11";"19";"con_L_UpRight";"default";"approved";"544.25";"723.6";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"12";"19";"con_L_UpRight";"default";"approved";"771.02";"712.26";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"13";"22";"con_L_UpRight";"default";"approved";"215.43";"723.6";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"14";"22";"con_L_UpRight";"default";"approved";"170.08";"746.28";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"15";"35";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"16";"35";"con_L_UpRight";"default";"pending";"170.08";"746.28";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"17";"38";"con_L_UpRight";"default";"pending";"170.08";"678.24";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"18";"38";"con_L_UpRight";"default";"pending";"192.76";"700.92";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"19";"38";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"20";"38";"con_L_UpRight";"default";"pending";"476.22";"723.6";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"21";"38";"con_L_UpRight";"default";"pending";"544.25";"723.6";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"22";"38";"con_L_UpRight";"default";"pending";"771.02";"712.26";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"23";"40";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"24";"40";"con_L_UpRight";"default";"pending";"170.08";"746.28";"1192.0";"871.0";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"25";"49";"con_L_UpRight";"default";"pending";"170.08";"678.24";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"26";"49";"con_L_UpRight";"default";"pending";"192.76";"700.92";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"27";"49";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"28";"56";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"29";"56";"con_L_UpRight";"default";"pending";"170.08";"746.28";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"30";"60";"con_L_UpRight";"default";"pending";"170.08";"678.24";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"31";"60";"con_L_UpRight";"default";"pending";"192.76";"700.92";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"32";"60";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"33";"60";"con_L_UpRight";"default";"pending";"476.22";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"34";"60";"con_L_UpRight";"default";"pending";"544.25";"723.6";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"35";"60";"con_L_UpRight";"default";"pending";"771.02";"712.26";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"36";"63";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"37";"63";"con_L_UpRight";"default";"pending";"170.08";"746.28";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"38";"69";"con_L_UpRight";"default";"pending";"170.08";"632.89";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"39";"69";"con_L_UpRight";"default";"pending";"192.76";"655.57";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"40";"69";"con_L_UpRight";"default";"pending";"215.43";"678.24";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"41";"78";"con_L_UpRight";"default";"pending";"396.85";"734.94";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"42";"78";"con_L_UpRight";"default";"pending";"464.88";"734.94";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"43";"79";"con_L_UpRight";"default";"pending";"396.85";"734.94";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"44";"79";"con_L_UpRight";"default";"pending";"464.88";"734.94";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"45";"82";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"46";"82";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"47";"84";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"48";"84";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"49";"85";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"50";"85";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"51";"86";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"52";"86";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"53";"93";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"54";"93";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"55";"94";"con_L_UpRight";"default";"pending";"215.43";"723.6";"1192.0";"871.0";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"56";"94";"con_L_UpRight";"default";"pending";"170.08";"734.94";"1192.0";"871.0";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"57";"109";"con_L_UpRight";"default";"pending";"215.43";"712.26";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"58";"109";"con_L_UpRight";"default";"pending";"192.76";"689.58";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"59";"109";"con_L_UpRight";"default";"pending";"170.08";"666.91";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"60";"109";"con_L_UpRight";"default";"pending";"249.45";"746.28";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"61";"109";"con_L_UpRight";"default";"pending";"272.13";"734.94";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"62";"110";"con_L_UpRight";"default";"pending";"215.43";"712.26";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"63";"110";"con_L_UpRight";"default";"pending";"192.76";"689.58";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"64";"110";"con_L_UpRight";"default";"pending";"170.08";"666.91";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"65";"110";"con_L_UpRight";"default";"pending";"249.45";"746.28";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"66";"110";"con_L_UpRight";"default";"pending";"272.13";"734.94";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"67";"111";"con_L_UpRight";"default";"pending";"215.43";"712.26";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"68";"111";"con_L_UpRight";"default";"pending";"192.76";"689.58";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
