"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_T_DOWN";"default";"approved";"498.9";"133.99";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_T_DOWN";"default";"approved";"521.57";"145.33";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_T_DOWN";"default";"approved";"544.25";"156.67";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_T_DOWN";"default";"approved";"737.01";"133.99";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_T_DOWN";"default";"approved";"759.69";"145.33";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_T_DOWN";"default";"approved";"782.36";"156.67";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"con_T_DOWN";"default";"approved";"861.73";"133.99";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"4";"con_T_DOWN";"default";"approved";"884.41";"145.33";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"4";"con_T_DOWN";"default";"approved";"907.09";"156.67";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"4";"con_T_DOWN";"default";"approved";"986.46";"133.99";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"4";"con_T_DOWN";"default";"approved";"1009.13";"145.33";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"12";"4";"con_T_DOWN";"default";"approved";"1031.81";"156.67";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"13";"4";"con_T_DOWN";"default";"approved";"623.62";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"14";"4";"con_T_DOWN";"default";"approved";"702.99";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"15";"4";"con_T_DOWN";"default";"approved";"782.36";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"16";"4";"con_T_DOWN";"default";"approved";"861.73";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"17";"4";"con_T_DOWN";"default";"approved";"941.1";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"18";"4";"con_T_DOWN";"default";"approved";"476.22";"508.17";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"19";"4";"con_T_DOWN";"default";"approved";"1020.47";"564.86";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"20";"20";"con_T_DOWN";"default";"approved";"861.73";"77.3";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"21";"39";"con_T_DOWN";"default";"pending";"861.73";"77.3";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"22";"49";"con_T_DOWN";"default";"pending";"975.12";"77.3";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"23";"50";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"24";"51";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"25";"61";"con_T_DOWN";"default";"pending";"861.73";"77.3";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"26";"69";"con_T_DOWN";"default";"pending";"510.24";"338.09";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"27";"70";"con_T_DOWN";"default";"pending";"408.19";"326.75";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"28";"70";"con_T_DOWN";"default";"pending";"521.57";"326.75";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"29";"70";"con_T_DOWN";"default";"pending";"634.96";"326.75";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"30";"77";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"31";"88";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"32";"91";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"33";"96";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"34";"102";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"35";"103";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"85";"29";"= 427";"+ 400A";"press";"spare";""
"36";"104";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"86";"29";"= 427";"+ 400A";"press";"spare";""
"37";"105";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"87";"29";"= 427";"+ 400A";"press";"spare";""
"38";"106";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"88";"29";"= 427";"+ 400A";"press";"spare";""
"39";"107";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"40";"108";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"41";"109";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"42";"110";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"43";"111";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"44";"112";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"45";"113";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"46";"114";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"47";"115";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"48";"116";"con_T_DOWN";"default";"pending";"895.75";"77.3";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"49";"122";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"99";"1";"= 447";"+ 400A";"";"roller conveyor
spare";"447M1"
"50";"123";"con_T_DOWN";"default";"pending";"873.07";"77.3";"1192.0";"871.0";"100";"1";"= 448";"+ 400A";"";"roller conveyor
spare";"448M1"
"51";"126";"con_T_DOWN";"default";"pending";"782.36";"360.76";"1192.0";"871.0";"98";"21";"= 414";"+ 400H10";"forming machine C";"transport belt to matformer C";"414M01"
"52";"130";"con_T_DOWN";"default";"pending";"294.8";"406.12";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"53";"130";"con_T_DOWN";"default";"pending";"600.94";"77.3";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"54";"130";"con_T_DOWN";"default";"pending";"646.3";"99.98";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"55";"132";"con_T_DOWN";"default";"pending";"294.8";"406.12";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"56";"132";"con_T_DOWN";"default";"pending";"600.94";"77.3";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"57";"132";"con_T_DOWN";"default";"pending";"646.3";"99.98";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"58";"140";"con_T_DOWN";"default";"pending";"861.73";"77.3";"1192.0";"871.0";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"59";"146";"con_T_DOWN";"default";"pending";"430.87";"88.64";"1192.0";"871.0";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
"60";"146";"con_T_DOWN";"default";"pending";"476.22";"111.31";"1192.0";"871.0";"764";"2";"= 763";"+ ???";"";"band spraying infeed";""
